题目ID,题目陈述,题目类型,题目分类,难度等级,分值,参数名称,参数描述,数据类型,正确答案,容差值,最小值,最大值,单位,需要飞控读取,验证方法,解释说明,创建人,创建时间,是否启用
00016,验证偏航速率D增益ATC_RAT_YAW_D的值是否为0,ParameterVerify,PIDTuning,Easy,3,ATC_RAT_YAW_D,偏航速率D增益,Float,0,0.0001,0,0.02,,true,FloatTolerance,通常设为0以避免偏航轴噪音,AI生成器,2024-12-19 10:00:15,true
00017,将飞行模式1设置为0（手动模式）,ParameterSetting,FlightModes,Easy,3,FLTMODE1,飞行模式1,Integer,0,0,0,20,,true,ExactMatch,设置通道5位置1对应的飞行模式,AI生成器,2024-12-19 10:00:16,true
00018,设置飞行模式2为2（定高模式）,ParameterSetting,FlightModes,Easy,3,FLTMODE2,飞行模式2,Integer,2,0,0,20,,true,ExactMatch,设置通道5位置2对应的飞行模式,AI生成器,2024-12-19 10:00:17,true
00019,验证飞行模式3是否设置为5（自稳模式）,ParameterVerify,FlightModes,Easy,3,FLTMODE3,飞行模式3,Integer,5,0,0,20,,true,ExactMatch,检查通道5位置3的飞行模式设置,AI生成器,2024-12-19 10:00:18,true
00020,将飞行模式4设置为6（返航模式）,ParameterSetting,FlightModes,Medium,4,FLTMODE4,飞行模式4,Integer,6,0,0,20,,true,ExactMatch,设置通道5位置4对应的飞行模式,AI生成器,2024-12-19 10:00:19,true
00021,设置GPS类型GPS_TYPE为1,ParameterSetting,SensorCalibration,Medium,4,GPS_TYPE,GPS类型,Integer,1,0,0,20,,true,ExactMatch,配置主GPS接收器类型,AI生成器,2024-12-19 10:00:20,true
00022,验证良好HDOP值GPS_HDOP_GOOD是否为230,ParameterVerify,SensorCalibration,Medium,4,GPS_HDOP_GOOD,良好HDOP值,Integer,230,0,100,900,,true,ExactMatch,GPS水平精度稀释的阈值,AI生成器,2024-12-19 10:00:21,true
00023,将电池监测类型BATT_MONITOR设置为4,ParameterSetting,SafetySettings,Medium,5,BATT_MONITOR,电池监测类型,Integer,4,0,0,20,,true,ExactMatch,启用电池电压和电流监测,AI生成器,2024-12-19 10:00:22,true
00024,设置电池容量BATT_CAPACITY为5000,ParameterSetting,SafetySettings,Easy,3,BATT_CAPACITY,电池容量,Integer,5000,0,0,100000,mAh,true,ExactMatch,设置电池的额定容量,AI生成器,2024-12-19 10:00:23,true
00025,验证低电压警告BATT_LOW_VOLT是否设置为14.4,ParameterVerify,SafetySettings,Medium,4,BATT_LOW_VOLT,低电压警告,Float,14.4,0.1,0,100,V,true,FloatTolerance,触发低电压警告的电压阈值,AI生成器,2024-12-19 10:00:24,true
00026,将严重低电压BATT_CRT_VOLT设置为13.5,ParameterSetting,SafetySettings,Medium,5,BATT_CRT_VOLT,严重低电压,Float,13.5,0.1,0,100,V,true,FloatTolerance,触发紧急降落的电压阈值,AI生成器,2024-12-19 10:00:25,true
00027,设置横滚角度P增益ATC_ANG_RLL_P为4.5,ParameterSetting,PIDTuning,Medium,5,ATC_ANG_RLL_P,横滚角度P增益,Float,4.5,0.1,0,12,,true,FloatTolerance,控制横滚角度响应的比例增益,AI生成器,2024-12-19 10:00:26,true
00028,验证俯仰角度P增益ATC_ANG_PIT_P的值是否为4.5,ParameterVerify,PIDTuning,Medium,5,ATC_ANG_PIT_P,俯仰角度P增益,Float,4.5,0.1,0,12,,true,FloatTolerance,控制俯仰角度响应的比例增益,AI生成器,2024-12-19 10:00:27,true
00029,将偏航角度P增益ATC_ANG_YAW_P设置为4.5,ParameterSetting,PIDTuning,Medium,5,ATC_ANG_YAW_P,偏航角度P增益,Float,4.5,0.1,0,12,,true,FloatTolerance,控制偏航角度响应的比例增益,AI生成器,2024-12-19 10:00:28,true
00030,设置位置控制最大速度PSC_VELXY_P为1.0,ParameterSetting,PIDTuning,Medium,5,PSC_VELXY_P,水平速度P增益,Float,1.0,0.1,0.1,6,,true,FloatTolerance,水平位置控制的比例增益,AI生成器,2024-12-19 10:00:29,true
00031,验证垂直速度P增益PSC_VELZ_P是否为5.0,ParameterVerify,PIDTuning,Medium,5,PSC_VELZ_P,垂直速度P增益,Float,5.0,0.1,1,8,,true,FloatTolerance,垂直位置控制的比例增益,AI生成器,2024-12-19 10:00:30,true
00032,将水平加速度最大值PSC_ACCXY_MAX设置为10,ParameterSetting,PIDTuning,Medium,4,PSC_ACCXY_MAX,水平最大加速度,Float,10,0.5,1,20,m/s²,true,FloatTolerance,限制水平方向的最大加速度,AI生成器,2024-12-19 10:00:31,true
00033,设置垂直加速度最大值PSC_ACCZ_MAX为10,ParameterSetting,PIDTuning,Medium,4,PSC_ACCZ_MAX,垂直最大加速度,Float,10,0.5,1,20,m/s²,true,FloatTolerance,限制垂直方向的最大加速度,AI生成器,2024-12-19 10:00:32,true
00034,验证倾斜角最大值ANGLE_MAX是否设置为30度,ParameterVerify,SafetySettings,Medium,4,ANGLE_MAX,最大倾斜角,Integer,3000,10,1000,8000,厘度,true,ExactMatch,限制飞行器的最大倾斜角度,AI生成器,2024-12-19 10:00:33,true
00035,将RC输入超时RC_TIMEOUT设置为1.0秒,ParameterSetting,SafetySettings,Medium,4,RC_TIMEOUT,遥控超时,Float,1.0,0.1,0.5,30,s,true,FloatTolerance,遥控信号丢失的超时时间,AI生成器,2024-12-19 10:00:34,true
00036,设置故障保护动作FS_THR_ENABLE为1,ParameterSetting,SafetySettings,Medium,5,FS_THR_ENABLE,油门故障保护,Integer,1,0,0,4,,true,ExactMatch,启用油门信号丢失保护,AI生成器,2024-12-19 10:00:35,true
00037,验证GPS故障保护FS_GPS_ENABLE是否设置为1,ParameterVerify,SafetySettings,Medium,5,FS_GPS_ENABLE,GPS故障保护,Integer,1,0,0,5,,true,ExactMatch,启用GPS信号丢失保护,AI生成器,2024-12-19 10:00:36,true
00038,将电池故障保护FS_BATT_ENABLE设置为1,ParameterSetting,SafetySettings,Medium,5,FS_BATT_ENABLE,电池故障保护,Integer,1,0,0,2,,true,ExactMatch,启用电池低电压保护,AI生成器,2024-12-19 10:00:37,true
00039,设置解锁检查ARMING_CHECK为1,ParameterSetting,SafetySettings,Medium,4,ARMING_CHECK,解锁检查,Integer,1,0,0,1,,true,ExactMatch,启用解锁前的安全检查,AI生成器,2024-12-19 10:00:38,true
00040,验证解锁最小油门ARMING_MIS_THR是否为0.1,ParameterVerify,SafetySettings,Medium,4,ARMING_MIS_THR,解锁最小油门,Float,0.1,0.01,0,0.5,,true,FloatTolerance,解锁时要求的最小油门值,AI生成器,2024-12-19 10:00:39,true
00041,将INS惯导系统使用个数INS_USE设置为1,ParameterSetting,SensorCalibration,Medium,4,INS_USE,惯导使用个数,Integer,1,0,0,3,,true,ExactMatch,设置使用的IMU传感器数量,AI生成器,2024-12-19 10:00:40,true
00042,设置加速度计校准ACCEL_CAL为1,ParameterSetting,SensorCalibration,Medium,5,INS_ACCEL_FILTER,加速度计滤波,Float,20,1,5,50,Hz,true,FloatTolerance,加速度计低通滤波频率,AI生成器,2024-12-19 10:00:41,true
00043,验证陀螺仪滤波频率INS_GYRO_FILTER是否为20Hz,ParameterVerify,SensorCalibration,Medium,5,INS_GYRO_FILTER,陀螺仪滤波,Float,20,1,5,50,Hz,true,FloatTolerance,陀螺仪低通滤波频率,AI生成器,2024-12-19 10:00:42,true
00044,将罗盘使用个数COMPASS_USE设置为1,ParameterSetting,SensorCalibration,Medium,4,COMPASS_USE,罗盘使用,Integer,1,0,0,3,,true,ExactMatch,启用罗盘传感器,AI生成器,2024-12-19 10:00:43,true
00045,设置罗盘自动校准COMPASS_AUTODEC为1,ParameterSetting,SensorCalibration,Medium,4,COMPASS_AUTODEC,罗盘自动校准,Integer,1,0,0,1,,true,ExactMatch,启用罗盘磁偏角自动设置,AI生成器,2024-12-19 10:00:44,true
00046,验证罗盘学习参数COMPASS_LEARN是否为0,ParameterVerify,SensorCalibration,Easy,3,COMPASS_LEARN,罗盘学习,Integer,0,0,0,3,,true,ExactMatch,罗盘偏移量学习模式,AI生成器,2024-12-19 10:00:45,true
00047,将日志启用LOG_BACKEND_TYPE设置为1,ParameterSetting,AdvancedFeatures,Easy,3,LOG_BACKEND_TYPE,日志后端类型,Integer,1,0,0,4,,true,ExactMatch,启用SD卡日志记录,AI生成器,2024-12-19 10:00:46,true
00048,设置日志位掩码LOG_BITMASK为176126,ParameterSetting,AdvancedFeatures,Hard,6,LOG_BITMASK,日志位掩码,Integer,176126,0,0,2000000,,true,ExactMatch,选择记录的日志类型,AI生成器,2024-12-19 10:00:47,true
00049,验证串口0波特率SERIAL0_BAUD是否为115200,ParameterVerify,BasicParameters,Easy,3,SERIAL0_BAUD,串口0波特率,Integer,115200,0,1200,2000000,bps,true,ExactMatch,USB串口通信速率,AI生成器,2024-12-19 10:00:48,true
00050,将串口1协议SERIAL1_PROTOCOL设置为1,ParameterSetting,BasicParameters,Medium,4,SERIAL1_PROTOCOL,串口1协议,Integer,1,0,0,20,,true,ExactMatch,设置TELEM1端口协议为MAVLink,AI生成器,2024-12-19 10:00:49,true
00051,设置串口1波特率SERIAL1_BAUD为57600,ParameterSetting,BasicParameters,Medium,4,SERIAL1_BAUD,串口1波特率,Integer,57600,0,1200,2000000,bps,true,ExactMatch,TELEM1端口通信速率,AI生成器,2024-12-19 10:00:50,true
00052,验证横滚速率滤波频率ATC_RAT_RLL_FILT是否为20Hz,ParameterVerify,PIDTuning,Medium,5,ATC_RAT_RLL_FILT,横滚速率滤波,Float,20,1,5,50,Hz,true,FloatTolerance,横滚速率控制器滤波频率,AI生成器,2024-12-19 10:00:51,true
00053,将俯仰速率滤波频率ATC_RAT_PIT_FILT设置为20Hz,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_PIT_FILT,俯仰速率滤波,Float,20,1,5,50,Hz,true,FloatTolerance,俯仰速率控制器滤波频率,AI生成器,2024-12-19 10:00:52,true
00054,设置偏航速率滤波频率ATC_RAT_YAW_FILT为5Hz,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_YAW_FILT,偏航速率滤波,Float,5,0.5,1,20,Hz,true,FloatTolerance,偏航速率控制器滤波频率,AI生成器,2024-12-19 10:00:53,true
00055,验证最大爬升速度WPNAV_SPEED_UP是否为250cm/s,ParameterVerify,PIDTuning,Medium,4,WPNAV_SPEED_UP,最大爬升速度,Float,250,10,10,1000,cm/s,true,FloatTolerance,自动模式下的最大爬升速度,AI生成器,2024-12-19 10:00:54,true
00056,将最大下降速度WPNAV_SPEED_DN设置为150cm/s,ParameterSetting,PIDTuning,Medium,4,WPNAV_SPEED_DN,最大下降速度,Float,150,10,10,500,cm/s,true,FloatTolerance,自动模式下的最大下降速度,AI生成器,2024-12-19 10:00:55,true
00057,设置导航速度WPNAV_SPEED为500cm/s,ParameterSetting,PIDTuning,Medium,4,WPNAV_SPEED,导航速度,Float,500,10,20,2000,cm/s,true,FloatTolerance,自动模式下的水平飞行速度,AI生成器,2024-12-19 10:00:56,true
00058,验证返航高度RTL_ALT是否设置为1500cm,ParameterVerify,SafetySettings,Medium,4,RTL_ALT,返航高度,Float,1500,50,0,8000,cm,true,FloatTolerance,返航模式的飞行高度,AI生成器,2024-12-19 10:00:57,true
00059,将返航速度RTL_SPEED设置为500cm/s,ParameterSetting,SafetySettings,Medium,4,RTL_SPEED,返航速度,Float,500,10,0,2000,cm/s,true,FloatTolerance,返航模式的水平速度,AI生成器,2024-12-19 10:00:58,true
00060,设置着陆速度LAND_SPEED为50cm/s,ParameterSetting,SafetySettings,Medium,4,LAND_SPEED,着陆速度,Float,50,5,30,200,cm/s,true,FloatTolerance,自动着陆的下降速度,AI生成器,2024-12-19 10:00:59,true
00061,验证EKF2启用参数EK2_ENABLE是否为1,ParameterVerify,AdvancedFeatures,Medium,5,EK2_ENABLE,EKF2启用,Integer,1,0,0,1,,true,ExactMatch,启用扩展卡尔曼滤波器2,AI生成器,2024-12-19 10:01:00,true
00062,将EKF2 IMU掩码EK2_IMU_MASK设置为3,ParameterSetting,AdvancedFeatures,Hard,6,EK2_IMU_MASK,EKF2 IMU掩码,Integer,3,0,1,7,,true,ExactMatch,选择EKF2使用的IMU传感器,AI生成器,2024-12-19 10:01:01,true
00063,设置EKF2高度传感器EK2_ALT_SOURCE为1,ParameterSetting,AdvancedFeatures,Medium,5,EK2_ALT_SOURCE,EKF2高度源,Integer,1,0,0,3,,true,ExactMatch,选择EKF2的主要高度数据源,AI生成器,2024-12-19 10:01:02,true
00064,验证EKF2 GPS类型EK2_GPS_TYPE是否为0,ParameterVerify,AdvancedFeatures,Medium,5,EK2_GPS_TYPE,EKF2 GPS类型,Integer,0,0,0,3,,true,ExactMatch,EKF2使用的GPS模式,AI生成器,2024-12-19 10:01:03,true
00065,将横滚轴输入死区RC1_DZ设置为30,ParameterSetting,BasicParameters,Easy,3,RC1_DZ,RC1死区,Integer,30,0,0,200,,true,ExactMatch,横滚通道的死区大小,AI生成器,2024-12-19 10:01:04,true
00066,设置俯仰轴输入死区RC2_DZ为30,ParameterSetting,BasicParameters,Easy,3,RC2_DZ,RC2死区,Integer,30,0,0,200,,true,ExactMatch,俯仰通道的死区大小,AI生成器,2024-12-19 10:01:05,true
00067,验证油门通道死区RC3_DZ是否为30,ParameterVerify,BasicParameters,Easy,3,RC3_DZ,RC3死区,Integer,30,0,0,200,,true,ExactMatch,油门通道的死区大小,AI生成器,2024-12-19 10:01:06,true
00068,将偏航轴输入死区RC4_DZ设置为40,ParameterSetting,BasicParameters,Easy,3,RC4_DZ,RC4死区,Integer,40,0,0,200,,true,ExactMatch,偏航通道的死区大小,AI生成器,2024-12-19 10:01:07,true
00069,设置遥控器1最小值RC1_MIN为1100,ParameterSetting,BasicParameters,Medium,4,RC1_MIN,RC1最小值,Integer,1100,0,800,1300,μs,true,ExactMatch,横滚通道的最小脉宽,AI生成器,2024-12-19 10:01:08,true
00070,验证遥控器1最大值RC1_MAX是否为1900,ParameterVerify,BasicParameters,Medium,4,RC1_MAX,RC1最大值,Integer,1900,0,1700,2200,μs,true,ExactMatch,横滚通道的最大脉宽,AI生成器,2024-12-19 10:01:09,true
00071,将遥控器2最小值RC2_MIN设置为1100,ParameterSetting,BasicParameters,Medium,4,RC2_MIN,RC2最小值,Integer,1100,0,800,1300,μs,true,ExactMatch,俯仰通道的最小脉宽,AI生成器,2024-12-19 10:01:10,true
00072,设置遥控器2最大值RC2_MAX为1900,ParameterSetting,BasicParameters,Medium,4,RC2_MAX,RC2最大值,Integer,1900,0,1700,2200,μs,true,ExactMatch,俯仰通道的最大脉宽,AI生成器,2024-12-19 10:01:11,true
00073,验证遥控器3最小值RC3_MIN是否为1100,ParameterVerify,BasicParameters,Medium,4,RC3_MIN,RC3最小值,Integer,1100,0,800,1300,μs,true,ExactMatch,油门通道的最小脉宽,AI生成器,2024-12-19 10:01:12,true
00074,将遥控器3最大值RC3_MAX设置为1900,ParameterSetting,BasicParameters,Medium,4,RC3_MAX,RC3最大值,Integer,1900,0,1700,2200,μs,true,ExactMatch,油门通道的最大脉宽,AI生成器,2024-12-19 10:01:13,true
00075,设置遥控器4最小值RC4_MIN为1100,ParameterSetting,BasicParameters,Medium,4,RC4_MIN,RC4最小值,Integer,1100,0,800,1300,μs,true,ExactMatch,偏航通道的最小脉宽,AI生成器,2024-12-19 10:01:14,true
00076,验证遥控器4最大值RC4_MAX是否为1900,ParameterVerify,BasicParameters,Medium,4,RC4_MAX,RC4最大值,Integer,1900,0,1700,2200,μs,true,ExactMatch,偏航通道的最大脉宽,AI生成器,2024-12-19 10:01:15,true
00077,将飞行模式5设置为3（定点模式）,ParameterSetting,FlightModes,Easy,3,FLTMODE5,飞行模式5,Integer,3,0,0,20,,true,ExactMatch,设置通道5位置5对应的飞行模式,AI生成器,2024-12-19 10:01:16,true
00078,设置飞行模式6为9（土地模式）,ParameterSetting,FlightModes,Medium,4,FLTMODE6,飞行模式6,Integer,9,0,0,20,,true,ExactMatch,设置通道5位置6对应的飞行模式,AI生成器,2024-12-19 10:01:17,true
00079,验证简单模式掩码SIMPLE是否为0,ParameterVerify,FlightModes,Easy,3,SIMPLE,简单模式掩码,Integer,0,0,0,63,,true,ExactMatch,禁用简单飞行模式,AI生成器,2024-12-19 10:01:18,true
00080,将超级简单模式SUPER_SIMPLE设置为0,ParameterSetting,FlightModes,Easy,3,SUPER_SIMPLE,超级简单模式,Integer,0,0,0,63,,true,ExactMatch,禁用超级简单飞行模式,AI生成器,2024-12-19 10:01:19,true
00081,设置气压计滤波BARO_FILTER为0.3,ParameterSetting,SensorCalibration,Medium,5,BARO_FILTER,气压计滤波,Float,0.3,0.05,0,1,Hz,true,FloatTolerance,气压计数据滤波频率,AI生成器,2024-12-19 10:01:20,true
00082,验证第二GPS类型GPS_TYPE2是否为0,ParameterVerify,SensorCalibration,Easy,3,GPS_TYPE2,GPS类型2,Integer,0,0,0,20,,true,ExactMatch,禁用第二个GPS接收器,AI生成器,2024-12-19 10:01:21,true
00083,将GPS自动切换GPS_AUTO_SWITCH设置为1,ParameterSetting,SensorCalibration,Medium,4,GPS_AUTO_SWITCH,GPS自动切换,Integer,1,0,0,2,,true,ExactMatch,启用双GPS自动切换功能,AI生成器,2024-12-19 10:01:22,true
00084,设置GPS最小卫星数GPS_MIN_DGPS为6,ParameterSetting,SensorCalibration,Medium,4,GPS_MIN_DGPS,GPS最小卫星数,Integer,6,0,0,10,,true,ExactMatch,差分GPS要求的最小卫星数,AI生成器,2024-12-19 10:01:23,true
00085,验证声纳类型RNGFND1_TYPE是否为0,ParameterVerify,SensorCalibration,Easy,3,RNGFND1_TYPE,声纳类型1,Integer,0,0,0,20,,true,ExactMatch,禁用第一个距离传感器,AI生成器,2024-12-19 10:01:24,true
00086,将光流传感器FLOW_ENABLE设置为0,ParameterSetting,SensorCalibration,Medium,4,FLOW_ENABLE,光流启用,Integer,0,0,0,1,,true,ExactMatch,禁用光流传感器,AI生成器,2024-12-19 10:01:25,true
00087,设置第二罗盘启用COMPASS_USE2为1,ParameterSetting,SensorCalibration,Medium,4,COMPASS_USE2,罗盘2启用,Integer,1,0,0,1,,true,ExactMatch,启用第二个罗盘传感器,AI生成器,2024-12-19 10:01:26,true
00088,验证第三罗盘启用COMPASS_USE3是否为0,ParameterVerify,SensorCalibration,Easy,3,COMPASS_USE3,罗盘3启用,Integer,0,0,0,1,,true,ExactMatch,禁用第三个罗盘传感器,AI生成器,2024-12-19 10:01:27,true
00089,将惯导校准INS_ACCEL_FILTER设置为20,ParameterSetting,SensorCalibration,Medium,5,INS_ACCEL_FILTER,加速度计滤波,Float,20,1,5,50,Hz,true,FloatTolerance,加速度计低通滤波器设置,AI生成器,2024-12-19 10:01:28,true
00090,设置陀螺仪校准INS_GYRO_FILTER为20,ParameterSetting,SensorCalibration,Medium,5,INS_GYRO_FILTER,陀螺仪滤波,Float,20,1,5,50,Hz,true,FloatTolerance,陀螺仪低通滤波器设置,AI生成器,2024-12-19 10:01:29,true
00091,验证电机布局FRAME_TYPE是否为1,ParameterVerify,BasicParameters,Medium,4,FRAME_TYPE,机架类型,Integer,1,0,0,15,,true,ExactMatch,设置为X型四轴布局,AI生成器,2024-12-19 10:01:30,true
00092,将电机方向FRAME_CLASS设置为1,ParameterSetting,BasicParameters,Medium,4,FRAME_CLASS,机架分类,Integer,1,0,0,7,,true,ExactMatch,设置为四轴飞行器,AI生成器,2024-12-19 10:01:31,true
00093,设置地面效应补偿GNDEFFECT_ENABLE为1,ParameterSetting,AdvancedFeatures,Medium,5,MOT_GNDEFFECT_COMP,地面效应补偿,Float,1,0.1,0,2,,true,FloatTolerance,启用地面效应推力补偿,AI生成器,2024-12-19 10:01:32,true
00094,验证电机输出最小值MOT_PWM_MIN是否为1000,ParameterVerify,BasicParameters,Medium,4,MOT_PWM_MIN,电机PWM最小值,Integer,1000,0,800,1300,μs,true,ExactMatch,电机PWM信号最小脉宽,AI生成器,2024-12-19 10:01:33,true
00095,将电机输出最大值MOT_PWM_MAX设置为2000,ParameterSetting,BasicParameters,Medium,4,MOT_PWM_MAX,电机PWM最大值,Integer,2000,0,1700,2200,μs,true,ExactMatch,电机PWM信号最大脉宽,AI生成器,2024-12-19 10:01:34,true
00096,设置电机输出类型MOT_PWM_TYPE为0,ParameterSetting,BasicParameters,Medium,4,MOT_PWM_TYPE,电机PWM类型,Integer,0,0,0,5,,true,ExactMatch,使用标准PWM输出,AI生成器,2024-12-19 10:01:35,true
00097,验证悬停学习PILOT_THR_BHV是否为0,ParameterVerify,BasicParameters,Easy,3,PILOT_THR_BHV,油门行为,Integer,0,0,0,1,,true,ExactMatch,标准油门曲线行为,AI生成器,2024-12-19 10:01:36,true
00098,将油门中位PILOT_THR_FILT设置为0,ParameterSetting,BasicParameters,Easy,3,PILOT_THR_FILT,油门滤波,Float,0,0.5,0,10,Hz,true,FloatTolerance,禁用油门输入滤波,AI生成器,2024-12-19 10:01:37,true
00099,设置自动解锁AUTO_ARM为0,ParameterSetting,SafetySettings,Medium,5,ARMING_AUTO,自动解锁,Integer,0,0,0,2,,true,ExactMatch,禁用自动解锁功能,AI生成器,2024-12-19 10:01:38,true
00100,验证解锁延迟ARMING_DELAY是否为2秒,ParameterVerify,SafetySettings,Easy,3,ARMING_DELAY,解锁延迟,Float,2,0.1,0,10,s,true,FloatTolerance,解锁前的等待时间,AI生成器,2024-12-19 10:01:39,true
00101,将电机旋转方向验证MOT_SPIN_CHECK设置为1,ParameterSetting,SafetySettings,Medium,4,MOT_SPIN_CHECK,电机旋向检查,Integer,1,0,0,1,,true,ExactMatch,启用电机旋转方向检查,AI生成器,2024-12-19 10:01:40,true
00102,设置电机启动时间MOT_SPOOL_TIME为0.5秒,ParameterSetting,BasicParameters,Medium,4,MOT_SPOOL_TIME,电机启动时间,Float,0.5,0.1,0,2,s,true,FloatTolerance,电机从静止到工作转速的时间,AI生成器,2024-12-19 10:01:41,true
00103,验证位置控制水平速度限制PSC_VEL_XY_MAX是否为500,ParameterVerify,PIDTuning,Medium,4,PSC_VEL_XY_MAX,水平最大速度,Float,500,10,100,2000,cm/s,true,FloatTolerance,位置控制模式的最大水平速度,AI生成器,2024-12-19 10:01:42,true
00104,将位置控制垂直速度限制PSC_VEL_Z_MAX设置为250,ParameterSetting,PIDTuning,Medium,4,PSC_VEL_Z_MAX,垂直最大速度,Float,250,10,50,500,cm/s,true,FloatTolerance,位置控制模式的最大垂直速度,AI生成器,2024-12-19 10:01:43,true
00105,设置航点半径WPNAV_RADIUS为200cm,ParameterSetting,PIDTuning,Medium,4,WPNAV_RADIUS,航点半径,Float,200,10,10,1000,cm,true,FloatTolerance,到达航点的接受半径,AI生成器,2024-12-19 10:01:44,true
00106,验证航点加速度WPNAV_ACCEL是否为100,ParameterVerify,PIDTuning,Medium,4,WPNAV_ACCEL,航点加速度,Float,100,5,50,500,cm/s²,true,FloatTolerance,航点导航的加速度限制,AI生成器,2024-12-19 10:01:45,true
00107,将制动加速度ATC_ACCEL_Y_MAX设置为27000,ParameterSetting,PIDTuning,Medium,5,ATC_ACCEL_Y_MAX,偏航加速度最大值,Float,27000,1000,9000,54000,°/s²,true,FloatTolerance,偏航轴最大角加速度,AI生成器,2024-12-19 10:01:46,true
