序号,认定点代码,题型代码,题号,试题（题干）。,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,,,
32,A-A-B-001,B（单选题）,,关于遵纪守法正确的说法是（）。,只要品德端正，学不学法无所谓,金钱对人的诱惑力要大于法纪对人的约束力,法律是由人执行的，执行时不能不考虑人情和权力等因素,遵纪守法与职业道德要求具有一致性,,,D,3（中）,5（好）,,,
33,A-A-B-001,B（单选题）,,假设你在工作中出现了一次小的失误，暂时还未给单位造成损失，领导也没有发现。在这种情况下，你认为最好的一种处理办法是（   ）。,不向任何人提起这件事,不告诉任何人，自己在以后的工作中弥补过失,告诉领导，承认自己的过失并承担相应的责任,告诉自己最好的朋友，请他帮自己想一个最好的办法,,,C,3（中）,5（好）,,,
34,A-A-B-001,B（单选题）,,“5.12地震”中，德阳汉旺东汽中学高二（一）班老师谭千秋正在上课，危急时刻张开双臂、躬下身躯护住课桌下的4名同学，献出了51岁的生命，这是（  ）的最高表现形式。,奉献社会,忠于职守,诚实守信,热爱本职,,,B,4（较难）,5（好）,,,
35,A-A-B-001,B（单选题）,,关于爱岗敬业表述不符的是（）。,抓住机遇、竞争上岗,具有奉献精神,勤奋学习，刻苦钻研业务,认真履行岗位职责,,,A,3（中）,5（好）,,,
36,A-A-B-001,C（判断题）,,在工作中，只要自己的行为不违反法律法规，就可以不遵守公司规定。（）,正确,错误,,,,,B,3（中）,5（好）,,,
37,A-A-B-001,C（判断题）,,酒后开车只违反了交通法规，不违反职业道德。（）,正确,错误,,,,,B,3（中）,4（较好）,,,
38,A-A-B-001,G（多选题）,,遵纪守法的具体表现有（）。,依法纳税，不偷税漏税,遵守交通规则，文明出行,在工作中遵守保密协议，不泄露公司机密,对违法犯罪行为视而不见，以免惹祸上身,了解并遵守行业的相关法律法规,,ABCE,3（中）,5（好）,,,
39,A-A-B-001,G（多选题）,,爱岗敬业在工作态度上的具体表现包括（ ）。,以积极的心态对待工作，对工作充满热情,总是抱怨工作任务繁重，却不采取行动改善,把工作当作自己的事业，愿意为之付出额外的努力,对工作敷衍了事，只追求完成任务的数量,主动承担工作责任，不推诿,,ACE,3（中）,4（较好）,,,
40,A-A-B-002,B（单选题）,,某工程队在施工时要把网线穿过一根10米长，但直径只有3厘米的管道，而且管道已经砌在墙体里，并且绕了3个弯，用常规方法无法完成任务。一位工程师想出一个主意:从宠物市场买来一只老鼠，把一根线绑在老鼠身上，让老鼠沿着管子跑，这样网线安装的难题顺利得到解决。这个案例表明（）。,创新的本质是突破,这种方法缺乏专业性，不符合创新的本质,开辟一个新市场才属于创新,这只是歪打正着，不是真正的创新,,,A,3（中）,5（好）,,,
41,A-A-B-002,B（单选题）,,关于创新的论述，正确的是（）。,创新与继承根本对立,创新就是独立自主,创新是民族进步的灵魂,创新不需要引进国外新技术,,,C,3（中）,5（好）,,,
42,A-A-B-002,B（单选题）,,历涛用1千克面粉，制作并拉出2097152根面条，累计长度为2852千米，相当于从北京到新疆哈密市的距离。历涛拉出的面条细如丝，根根不断，一个针眼可穿人18根面条，这个案例表现了（）的职业道德模范。,严于律己,探索创新,技艺精湛,执行工艺,,,C,3（中）,5（好）,,,
43,A-A-B-002,B（单选题）,,《庄子》中记载的庖丁解牛的故事体现了（）的职业道德模范。,技艺精湛,精益求精,专心致志,执行工艺,,,B,3（中）,5（好）,,,
44,A-A-B-002,C（判断题）,,我国著名画家齐白石，1955年荣获国际和平奖。他创作的作品深受世界人民欢迎，赢得高度评价。他在艺术创作的道路上，几十年如一日，勤奋不懈，即使在八十岁高龄时，还每日坚持挥毫作画。这个案例体现了勤学苦练、精益求精的职业道德模范。（）,正确,错误,,,,,A,3（中）,5（好）,,,
45,A-A-B-002,C（判断题）,,开拓创新最重要的是注重创新的方法，其余是次要的。（）,正确,错误,,,,,B,2（易）,5（好）,,,
46,A-A-B-002,G（多选题）,,探索创新的具体行为包括（ ）。,对现有工作流程提出改进建议,引进新的技术或工具，尝试应用到工作中,拒绝接受新观念，坚持传统工作方式,参加行业的创新研讨会，分享自己的想法,模仿其他企业的做法，不考虑自身实际情况,,ABD,3（中）,5（好）,,,
47,A-A-B-002,G（多选题）,,精益求精在产品质量方面的具体表现有（ ）。,对产品的质量标准严格要求，不允许任何瑕疵,认为产品质量差不多就行，不必过于苛刻,设立高于行业标准的内部质量控制指标,对产品进行多次检验，确保质量稳定,为了追求速度，降低对产品质量的检查频率,,ACD,3（中）,5（好）,,,
48,A-A-B-003,B（单选题）,,在无人机电池即将耗尽时，应该（）。,继续飞行，直到电池耗尽,寻找最近的地点降落,快速返回起点,缓慢降低高度，寻找安全地点降落,,,D,3（中）,5（好）,,,
49,A-A-B-003,B（单选题）,,为确保安全充电，无人机电池最佳温度范围是（）。,负10°C至50°C,0°C至40°C,5°C至35°C,15°C至30°C,,,D,3（中）,5（好）,,,
50,A-A-B-003,B（单选题）,,在强风条件下，无人机的飞行高度应该控制在（） 。,100米,200米,300米,400米,,,A,3（中）,5（好）,,,
51,A-A-B-003,B（单选题）,,在飞行中，无人机突然失去GNSS信号，处理方法是（）。,继续飞行，直到找到GNSS信号,立即降落无人机,尝试手动控制无人机,先稳定无人机，再尝试恢复GNSS信号,,,D,3（中）,5（好）,,,
52,A-A-B-003,C（判断题）,,无人机在飞行过程中，突然遇到鸟类，应该缓慢改变飞行方向，避免惊吓鸟类。（）,正确,错误,,,,,A,3（中）,5（好）,,,
53,A-A-B-003,C（判断题）,,在维修无人机时，可使用强酸清洗无人机外壳。（）,正确,错误,,,,,B,3（中）,5（好）,,,
54,A-A-B-003,G（多选题）,,爱护设备的具体行为有（ ）。,定期清洁设备，保持设备整洁,设备出现小故障时，及时进行维修,随意拆卸设备，只为满足好奇心,按照设备的使用说明书进行操作,把设备放置在潮湿、多尘的环境中,,ABD,3（中）,5（好）,,,
55,A-A-B-003,G（多选题）,,无人机安全操作在飞行前的具体表现包括（ ）。,仔细检查无人机的各个部件是否正常,不看天气情况，直接起飞,校准无人机的传感器和罗盘,规划好合理的飞行路线,随意在禁飞区边缘飞行，认为不会有问题,,ACD,3（中）,5（好）,,,
56,A-A-B-004,B（单选题）,,在使用生产设备时，不符合规程的是（）。,遵守工艺流程,穿戴防护装备,超负荷运转设备,定期维护保养,,,C,3（中）,5（好）,,,
57,A-A-B-004,B（单选题）,,在生产过程中，如果发现设备异常，做法正确的是（）。,立即停机检查,继续使用直到故障发生,自行拆卸设备进行修理,忽略异常继续工作,,,A,3（中）,5（好）,,,
58,A-A-B-004,B（单选题）,,设备维护规程中的“五定”原则通常包括（）。,定时、定点、定量、定质、定人,定时、定位、定量、定质、定法,定人、定时、定位、定量、定质,定人、定时、定位、定量、定法,,,A,3（中）,5（好）,,,
59,A-A-B-004,B（单选题）,,（）步骤直接影响到产品的最终质量。,原材料采购,产品设计, 工艺执行, 品质检验,,,C,3（中）,5（好）,,,
60,A-A-B-004,C（判断题）,,执行工艺的优化通常需要考虑成本、时间、人力、资源、质量、效率等综合因素。（）,正确,错误,,,,,A,3（中）,5（好）,,,
61,A-A-B-004,C（判断题）,,执行工艺中的"工艺参数"主要是材料种类、设备型号两项。（）,正确,错误,,,,,B,3（中）,5（好）,,,
62,A-A-B-004,G（多选题）,,遵守规程在操作流程上的具体表现是（ ）。,按照既定的步骤顺序进行操作，不随意颠倒顺序,觉得某些步骤繁琐，跳过不重要的步骤,在操作过程中，严格遵守安全规程,不看操作手册，凭记忆和经验操作,对每一个操作步骤都进行记录，便于追溯,,ACE,3（中）,5（好）,,,
63,A-A-B-004,G（多选题）,,（）是遵守规程和执行工艺相融合的具体表现。,在执行工艺过程中，严格按照操作规程进行质量控制,为了创新工艺，完全抛开现有的操作规程,根据操作规程的要求，对工艺参数进行精确调整,忽视操作规程中的安全注意事项，只关注工艺执行情况,当操作规程和工艺要求有冲突时，随意选择执行,,AC,3（中）,5（好）,,,
64,A-A-B-005,B（单选题）,,《吕氏春秋》中讲到，“万人操弓，共射一招，招无不中”，这说明了（）。,“宝剑锋自磨砺出，梅花香自苦寒来”,“小胜靠智，大胜靠德”,“一双筷子容易折，十双筷子断就难’,“成由勤俭败由奢”,,,C,3（中）,5（好）,,,
65,A-A-B-005,B（单选题）,,“单丝不成线，独木不成林”说明了（）。,要勇于坚持真理,要正确处理个人与集体的关系，注重集体力量,做事要更公平公正,要发扬勤劳节俭的优良传统,,,B,3（中）,5（好）,,,
66,A-A-B-005,B（单选题）,,“舟必漏而后人水，石必湿而后苔生”说明（）。,要努力实现自身的社会价值,个人品德修养要从细微处严格要求自己，对不好的品行要防微杜渐,要积极向前人学习,要正确处理公与私之间的关系,,,B,5（难）,5（好）,,,
67,A-A-B-005,B（单选题）,,符合“慎独”道德规范的是（）。,夜以继日，废寝忘食,精忠报国，反对侵略,修身为本，严于律已,立志勤学，持之以恒,,,C,3（中）,5（好）,,,
68,A-A-B-005,C（判断题）,,“慎独”就是在无人监督的情况下，也要坚持自己的内心真诚、光明磊落的道德信念，不做不道德的事情。（）,正确,错误,,,,,A,3（中）,5（好）,,,
69,A-A-B-005,C（判断题）,,团结同事首先要坦诚待人、热情忍让、宽厚仁慈，同时重点考虑本部门及个人利益。（）,正确,错误,,,,,B,3（中）,5（好）,,,
70,A-A-B-005,G（多选题）,,团结协作在工作沟通方面的具体表现有（ ）。,主动与团队成员分享工作信息和资源,隐瞒重要信息，担心别人超过自己,认真倾听团队成员的意见和建议,沟通时使用攻击性语言，不顾及他人感受,及时回复团队成员的询问，不拖延,,ACE,3（中）,5（好）,,,
71,A-A-B-005,G（多选题）,,严于律己在工作纪律方面的具体表现包括（ ）。,严格遵守工作时间，不迟到早退,利用工作时间处理私人事务,对自己的工作失误主动承担责任,随意违反公司的保密规定,自觉抵制工作中的不良诱惑,,ACE,3（中）,5（好）,,,
72,A-A-B-006,B（单选题）,,文明生产的核心价值之一是可持续性，这意味着（）。,生产过程不能消耗自然资源,生产过程不能产生废弃物,生产过程要尽可能减少对环境的影响,生产过程要保护野生动物,,,C,3（中）,5（好）,,,
73,A-A-B-006,B（单选题）,,在包装材料的选择上，（）选择更符合环保理念。,可降解材料,可回收材料,少量包装,使用可重复使用的包装,,,A,3（中）,5（好）,,,
74,A-A-B-006,B（单选题）,,在公共场所吸烟且不听从劝阻，这主要违背了（  ）。,治安管理规定,消防安全规定,公共场所禁烟规定,城市管理规定,,,C,3（中）,4（较好）,,,
75,A-A-B-006,B（单选题）,,企业通过（）处理生产废料以实现资源的最大化利用。,分类回收,循环利用,转售给专业回收公司,直接填埋或焚烧,,,B,3（中）,5（好）,,,
76,A-A-B-006,C（判断题）,,环境保护坚持保护优先、预防为主、综合治理、公众参与、损害担责的原则（）。,正确,错误,,,,,A,3（中）,5（好）,,,
77,A-A-B-006,C（判断题）,,绿色工厂是指原料无害化、生产洁净化、废物资源化、能源低碳化的企业，是绿色制造核心实施单元，对用地集约率没有要求（）。,正确,错误,,,,,B,3（中）,5（好）,,,
78,A-A-B-006,G（多选题）,,保护环境在生产过程中的具体行为包括（ ）。,合理利用原材料，减少浪费,随意排放生产废弃物，不进行处理,采用环保型的生产工艺和设备,对生产过程中的有害气体进行净化处理,破坏生产场地周边的自然植被，方便生产,,ACD,3（中）,5（好）,,,
79,A-A-B-006,G（多选题）,,文明生产在工作场所秩序方面的具体表现有（ ）。,保持工作场所整洁，工具和材料摆放有序,在工作场所大声喧哗，影响他人工作,遵守工作场所的安全通道规定，不占用通道,对工作场所的公共设施进行爱护，不随意损坏,在工作场所随意丢弃垃圾，不进行清理,,ACD,3（中）,5（好）,,,
80,A-B-A-001,B（单选题）,,不是无人机特点的是（）。,无人驾驶,远程控制,超快速飞行,可执行任务,,,B,3（中）,5（好）,,,
81,A-B-A-001,B（单选题）,,无人机（UAV）的定义是（）。,一种由人类远程控制的飞行器,利用无线电遥控设备和自备的程序控制装置操纵的不载人飞行器,利用无线电遥控设备操纵的快速飞行的不载人飞行器,利用自备的程序控制装置操纵的快速飞行的不载人飞行器,,,B,3（中）,4（较好）,,,
82,A-B-A-001,B（单选题）,,不是无人机特点的是（ ）。,体积小,造价高,机动性好,使用方便,,,B,3（中）,5（好）,,,
83,A-B-A-001,B（单选题）,,无人机是利用（ ）设备和自备的程序控制装置操纵的不载人飞机。,遥控,导航,飞行,通讯,,,A,3（中）,5（好）,,,
84,A-B-A-001,C（判断题）,,无人机是完全不需要人工干预就能自主飞行的飞行器。（）,正确,错误,,,,,B,3（中）,5（好）,,,
85,A-B-A-001,C（判断题）,,无人机的飞行原理和有人驾驶飞机的飞行原理完全不同。（）,正确,错误,,,,,B,3（中）,5（好）,,,
86,A-B-A-001,G（多选题）,,无人机的常见应用领域有（）。,航拍,深海探测,农业植保,气象监测,桥梁检测,,ACDE,3（中）,5（好）,,,
87,A-B-A-001,G（多选题）,,影响无人机的飞行性能的因素有（）。,天气状况,地面人员数量,电池容量（对于电动无人机）,负载重量,周围建筑物的分布,,ACDE,3（中）,5（好）,,,
88,A-B-A-002,B（单选题）,,（）不是无人机系统必备的组成部分。,飞行器,传感器,数据处理设备,操作员,,,D,3（中）,5（好）,,,
89,A-B-A-002,B（单选题）,,无人机系统中，（）部分主要负责飞行控制、导航与自主飞行能力的实现。,飞行平台,任务载荷,飞控系统,数据链系统,,,C,3（中）,4（较好）,,,
90,A-B-A-002,B（单选题）,,无人机系统中，负责提供升力和推进力的部分是（）。,机翼,发动机,螺旋桨,电池,,,C,3（中）,5（好）,,,
91,A-B-A-002,B（单选题）,,相比于人的大脑，无人机的'大脑'指的是（）。,机身,传感器,飞行控制系统,电机,,,C,3（中）,5（好）,,,
92,A-B-A-002,C（判断题）,,无人机系统只包括无人机本身，不包括地面控制站等部分。（）,正确,错误,,,,,B,3（中）,5（好）,,,
93,A-B-A-002,C（判断题）,,无人机系统中的数据链路主要用于传输无人机的位置信息。（）,正确,错误,,,,,B,3（中）,5（好）,,,
94,A-B-A-002,G（多选题）,,无人机系统通常包括（ ）。,无人机平台,动力系统,协同驾驶,飞控系统,任务载荷,,ABDE,3（中）,5（好）,,,
95,A-B-A-002,G（多选题）,,在无人机系统的通信环节中，可能涉及的通信方式有（ ）。,卫星通信,无线电通信,蓝牙通信,光纤通信,红外线通信,,ABC,3（中）,5（好）,,,
96,A-B-A-003,B（单选题）,,（）不是用于无人机模拟飞行的软件。,Microsoft Flight Simulator,凤凰模拟器,Drone Racer: Fly Stunt Simulator,RealFlight G7,,,A,3（中）,5（好）,,,
97,A-B-A-003,B（单选题）,,（）操作系统通常对无人机模拟飞行软件兼容性最好。,Windows,macOS,Linux,Chrome OS,,,A,3（中）,5（好）,,,
98,A-B-A-003,B（单选题）,,"在安装无人机模拟飞行软件时，首先应该做的是（ ）。
",插入加密狗（如果有）,检查系统配置是否满足要求,下载软件安装包,创建软件快捷方式,,,B,3（中）,5（好）,,,
99,A-B-A-003,B（单选题）,,使用无人机模拟飞行软件时，（）不是基本操作。,起飞和降落,悬停控制,飞行环境设置,物理引擎调整,,,D,3（中）,5（好）,,,
100,A-B-A-003,C（判断题）,,安装无人机模拟飞行软件之前，需要确保计算机的硬件配置符合该软件的最低要求。 ( ),正确,错误,,,,,A,3（中）,5（好）,,,
101,A-B-A-003,C（判断题）,,所有无人机模拟飞行软件都需要连接到互联网才能运行。 ( ),正确,错误,,,,,B,3（中）,5（好）,,,
102,A-B-A-003,G（多选题）,,在安装无人机模拟飞行软件之前，需要确认电脑具备的条件有（ ）。,足够的硬盘空间,合适的操作系统版本,兼容的显卡驱动,有效的网络连接,安装了音频设备,,ABC,3（中）,5（好）,,,
103,A-B-A-003,G（多选题）,,在设置无人机模拟飞行软件时，用户通常可以调整的参数有（ ）。,飞行器类型,摇杆类型（如美国手、日本手）,飞行器颜色,视角切换（如第一人称视角、第三人称视角）,飞行高度限制,,ABDE,3（中）,5（好）,,,
104,A-B-A-004,B（单选题）,,多旋翼无人机模拟飞行训练时飞行姿态的改变是通过调整（）来实现。,改变电机转速,改变螺旋桨桨距,改变桨叶角度,改变电机大小,,,A,3（中）,5（好）,,,
105,A-B-A-004,B（单选题）,,在多旋翼无人机模拟飞行软件中，用于起飞的操作是（）。,向下推动油门杆,向上推动油门杆,向左推动方向杆,向右推动方向杆,,,B,3（中）,5（好）,,,
106,A-B-A-004,B（单选题）,,在多旋翼无人机模拟飞行中，用于下降的操作是（）。,向下推动油门杆,向上推动油门杆,向左推动方向杆,向右推动方向杆,,,A,3（中）,5（好）,,,
107,A-B-A-004,B（单选题）,,在模拟飞行中，无人机的悬停通常需要调整（）控制杆。,油门杆,俯仰杆,横滚杆,偏航杆,,,A,3（中）,5（好）,,,
108,A-B-A-004,C（判断题）,,多旋翼无人机模拟飞行训练可以完全替代实际飞行训练。 ( ),正确,错误,,,,,B,3（中）,5（好）,,,
109,A-B-A-004,C（判断题）,,在模拟飞行训练中，学员可以练习无人机的起飞、悬停、降落和基本飞行操作。（）,正确,错误,,,,,A,3（中）,5（好）,,,
110,A-B-A-004,G（多选题）,,在多旋翼无人机模拟飞行训练中，学员可以进行的操作有（）。,起飞,降落,悬停,航线飞行,维修,,ABCD,3（中）,5（好）,,,
111,A-B-A-004,G（多选题）,,在多旋翼无人机模拟飞行训练中，提高训练效果的方式有（）。,定期更换训练场景,逐步增加难度级别,记录并分析每次训练的数据,与其他学员进行比赛,使用专业教练指导,,ABDE,3（中）,5（好）,,,
112,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行时依靠（）调整飞行高度。,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,C,3（中）,5（好）,,,
113,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行时依靠（）调整飞行方向。,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,D,3（中）,5（好）,,,
114,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行五边航线的第一边是（ ）。,离场边,下风边,基地边,上风边,,,A,3（中）,5（好）,,,
115,A-B-A-005,B（单选题）,,固定翼无人机五边航线的每一边飞行过程中，主要的姿态控制由（ ）完成。,升降舵和方向舵,副翼和升降舵,副翼、升降舵和方向舵协同,副翼和方向舵,,,C,3（中）,5（好）,,,
116,A-B-A-005,C（判断题）,,固定翼无人机模拟飞行训练时，速度越快越好，因为这样能更快完成训练任务。（）,正确,错误,,,,,B,3（中）,5（好）,,,
117,A-B-A-005,C（判断题）,,通过固定翼无人机模拟飞行训练，可以提高飞行员在实际飞行中的应急处理能力。 ( ),正确,错误,,,,,A,3（中）,5（好）,,,
118,A-B-A-005,G（多选题）,,在固定翼无人机模拟飞行训练过程中，为了保持飞行稳定性，需要的因素有（ ）。,飞机的俯仰角,飞机的滚转角,飞机的涂装,空速的稳定,高度的稳定,,ABDE,3（中）,5（好）,,,
119,A-B-A-005,G（多选题）,,固定翼无人机模拟飞行训练中，学员可以操作的有（）。,手动起飞和降落,航线飞行,特技飞行,紧急情况处理,无人机维护模拟,,ABCD,3（中）,5（好）,,,
120,A-B-A-006,B（单选题）,,大气的最外层是（ ）。,对流层,平流层,热层,散逸层,,,D,3（中）,5（好）,,,
121,A-B-A-006,B（单选题）,,大气中含量最多的气体是（ ）。,氧气,氮气,二氧化碳, 氩气,,,B,3（中）,5（好）,,,
122,A-B-A-006,B（单选题）,,标准大气规定海平面的气温是（ ）。,0℃,15℃,20℃,25℃,,,B,3（中）,5（好）,,,
123,A-B-A-006,B（单选题）,,在标准大气中，海平面上的大气压是（）。,900 hPa, 1013.25 hPa, 1050 hPa, 1100 hPa,,,B,3（中）,5（好）,,,
124,A-B-A-006,C（判断题）,,大气的主要成分是氮气和氧气，它们分别占大气体积的大约78%和21%。（）,正确,错误,,,,,A,3（中）,5（好）,,,
125,A-B-A-006,C（判断题）,,大气的温度随着高度的增加而逐渐升高，这种变化主要发生在对流层。 ( ),正确,错误,,,,,B,3（中）,5（好）,,,
126,A-B-A-006,G（多选题）,,对流层的主要特点有（）。,天气现象主要发生在此层,温度随高度增加而降低,大部分水汽和杂质集中在这一层,飞机通常在此层飞行,臭氧层位于此层,,ABCD,3（中）,5（好）,,,
127,A-B-A-006,G（多选题）,,关于平流层的描述，正确的有（）。,温度随高度增加而升高,含有大量臭氧，吸收紫外线,几乎没有天气现象,商业航班飞机在此层飞行,空气流动平稳,,ABCE,3（中）,5（好）,,,
128,A-B-A-007,B（单选题）,,（）是最基本的气象要素之一。,能见度,云量,气温,日照时数,,,C,3（中）,5（好）,,,
129,A-B-A-007,B（单选题）,,（）气象要素主要反映大气的干湿程度。,风速,相对湿度,气压,降水,,,B,3（中）,5（好）,,,
130,A-B-A-007,B（单选题）,,气象观测中，用来衡量空气冷热程度的要素是（）。,露点温度,体感温度,气温,地温,,,C,3（中）,5（好）,,,
131,A-B-A-007,B（单选题）,,素通常用百帕（hPa）作为单位的气象要是（）。, 风速,气温,气压,湿度,,,C,5（难）,5（好）,,,
