,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,解析,,,,,,,,
卷一b2,A-A-B-001,B（单选题）,,关于精益求精的具体要求，以下正确的是（）。,只需关注大方向，细节可以忽略,重视细节，但不过分拘泥于细节,只要完成任务即可，无需追求完美,专注于细节，忽略整体,,,B,3（中）,5（好）,,,,,,,,,
卷九b2,A-A-B-001,B（单选题）,,在职业生涯规划中，以下是精益求精体现的是（）。,选择职业时只考虑兴趣，不考虑其他因素,选择职业时综合考虑性格、兴趣、特长和环境因素,一旦确定职业，不再调整计划,只关注短期目标，不考虑长期发展,,,B,3（中）,5（好）,,,,,,,,,
卷七c1,A-A-B-001,C（判断题）,,精益求精意味着在工作中要不断追求更高的标准和更好的质量。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷八d1,A-A-B-001,G（多选题）,,（ ）行为体现了精益求精的态度。,每天提前到办公室做好准备工作,不断更新教学内容，结合学生反馈调整教学方法,选择职业时综合考虑性格、兴趣、特长和环境因素,只关注考试成绩，不注重学生能力培养,一旦确定职业，不再调整计划,,BDE,3（中）,5（好）,,,,,,,,,
卷二b2,A-A-B-002,B（单选题）,,在培养学生创新能力的过程中，（ ）是推荐的教学方法。,传统的“填鸭式”教学,"发展型和探索型的教学方法
",单纯的理论讲解,仅通过考试来评估学生,,,B,3（中）,5（好）,,,,,,,,,
卷十b2,A-A-B-002,B（单选题）,,在创新型教育中，（ ）是重要的要求。,建设性,互助性,引导性,尊重性,,,A,3（中）,5（好）,,,,,,,,,
卷八c1,A-A-B-002,C（判断题）,,在无人机教学中，鼓励学生走入日常生活和社会参与实践活动是培养创新能力的有效方法。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷一d1,A-A-B-002,G（多选题）,,在无人机教学中，（ ）方法有助于培养学生的创新能力。,提供情景，引导学生发生创新型想法,通过语言上的鼓励让学生获得信心, 带领学生学习比例的意义和基本性质时，插入引导性的开头,通过投影仪播放相关视频，吸引学生的兴趣,在数学探索中，帮助学生理解并灵活使用基础知识,,ABCDE,3（中）,5（好）,,,,,,,,,
卷九d1,A-A-B-002,G（多选题）,,在无人机教学中，（ ）方法有助于培养学生的创新思维。,鼓励学生走入日常生活和社会参与实践活动,通过问题情景–建立模型–求解–解释与运用的教学过程,提供阅读文献，让学生自主发现问题并深入研究,重视教学方法的改革，不断更新教学内容,通过大作业的形式考察学生的分析和解决问题的能力,,ABCDE,3（中）,5（好）,,,,,,,,,
卷三b2,A-A-B-003,B（单选题）,,在执行无人机装配工艺时，最关键的要求是（）。,使用高精度工具,快速完成装配,减少材料成本,增加装配人员,,,A,3（中）,5（好）,,,,,,,,,
卷一c1,A-A-B-003,C（判断题）,,在无人机装配过程中，使用高精度工具可以显著提高装配质量。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷九c1,A-A-B-003,C（判断题）,,在无人机装配过程中，减少材料成本是提高装配质量的关键。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷二d1,A-A-B-003,G（多选题）,,（ ）会影响无人机装配工艺的质量的因素。,使用高精度工具,控制装配环境温度,减少装配人员,提高装配速度,使用高质量材料,,ABE,3（中）,5（好）,,,,,,,,,
卷十d1,A-A-B-003,G（多选题）,,在无人机装配过程中，（ ）会影响装配效率的因素。,使用高精度工具,控制装配环境温度,减少装配人员,提高装配速度,使用高质量材料,,ABD,3（中）,5（好）,,,,,,,,,
卷四b2,A-A-B-004,B（单选题）,,在无人机项目团队中，（ ）是确保团队协作效率的关键因素。,明确分工与责任,增加团队成员数量,减少沟通频率,延长工作时间,,,A,3（中）,5（好）,,,,,,,,,
卷二c1,A-A-B-004,C（判断题）,,在无人机团队协作中，清晰的沟通是确保项目成功的关键。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷十c1,A-A-B-004,C（判断题）,,在无人机团队中，明确的目标和角色分配可以提高团队协作效率。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷三d1,A-A-B-004,G（多选题）,,在无人机团队协作中，（ ）行为会阻碍团队效率。,缺乏沟通,明确分工,忽视团队成员的意见,过度依赖单一成员,定期反馈与调整,,ACD,3（中）,5（好）,,,,,,,,,
卷五b2,A-A-B-005,B（单选题）,,严于律己的基本要求不包括（）。,自觉遵守法律、法规和社会公德,勤奋努力，不断提升自我素质,不断追求个人利益最大化,具有高度的责任感和使命感,,,C,3（中）,5（好）,,,,,,,,,
卷三c1,A-A-B-005,C（判断题）,,在无人机操作中，操作员应严格遵守飞行规则和操作手册，以确保飞行安全。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷四d1,A-A-B-005,G（多选题）,,严于律己在工作场合的表现包括（）。,按时完成任务,遵守工作纪律,忽视小错误,主动学习新技能,与同事竞争而非合作,,ABDE,3（中）,5（好）,,,,,,,,,
卷六b2,A-A-B-006,B（单选题）,,文明生产的首要条件是（）。,遵守安全生产规章制度,坚持诚实守信的商业道德,提高产品质量,加强环境保护,,,A,3（中）,5（好）,,,,,,,,,
卷四c1,A-A-B-006,C（判断题）,,文明生产要求企业在追求经济效益的同时，也要注重环境保护和社会责任。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,
卷五d1,A-A-B-006,G（多选题）,,在无人机生产过程中，（ ）行为符合文明生产的具体要求。,保持工作环境整洁有序,随意丢弃生产废料,遵守安全操作规程,忽视设备维护保养,减少噪音和污染排放,,ACE,3（中）,5（好）,,,,,,,,,
卷七b2,A-A-B-007,B（单选题）,,在无人机研发团队中，（ ）属于爱岗敬业的具体表现。,积极参与团队协作并提出改进建议,只关注个人任务，不关心团队目标,对工作中的问题视而不见,拒绝学习新知识和技术,,,A,3（中）,5（好）,,,,,,,,,
卷五c1,A-A-B-007,C（判断题）,,无人机行业要求从业者必须持有相应的飞行执照或证书，以确保飞行安全。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,
卷六d1,A-A-B-007,G（多选题）,,无人机在飞行前需要进行的准备工作有（）。,检查无人机的各项功能是否正常,确认飞行区域和高度是否符合规定,评估天气条件是否适合飞行,无需特别准备，直接起飞,报备飞行计划,,ABCE ,3（中）,5（好）,,,,,,,,,
卷八b2,A-A-B-008,B（单选题）,,在无人机行业中，（ ）是确保飞行安全的关键要求。,提高飞行速度,严格遵守空域管理规定,增加无人机重量,减少电池容量,,,B,3（中）,5（好）,,,,,,,,,
卷六c1,A-A-B-008,C（判断题）,,无人机行业的发展需要严格遵守相关法律法规，以确保安全和合规性。（ ）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,
卷七d1,A-A-B-008,G（多选题）,,爱岗敬业对个人职业发展的积极影响包括（）。,提升职业满意度 ,增强工作动力,提高工作效率,促进职业晋升,忽视团队合作,,ABCD,3（中）,5（好）,,,,,,,,,
卷一b3,A-B-A-001,B（单选题）,,无人机系统的基本组成部分包括（ ）。,飞控系统、动力系统、导航系统,飞控系统、动力系统、娱乐系统,动力系统、导航系统、音响系统,飞控系统、音响系统、娱乐系统,,,A,3（中）,5（好）,,,,,,,,,
卷九b4,A-B-A-001,B（单选题）,,无人机导航系统中，（ ）技术用于定位和导航。,超声波传感器,GPS模块,红外传感器,摄像头,,,B,3（中）,5（好）,,,,,,,,,
卷十b3,A-B-A-001,B（单选题）,,无人机动力系统中的电机类型通常是（ ）。,直流电机,交流电机,步进电机,伺服电机,,,A,3（中）,5（好）,,,,,,,,,
卷一b4,A-B-A-002,B（单选题）,,在无人机操控中，（ ）是控制无人机上升和下降的主要操作。,调节油门,调节方向舵,调节副翼,调节升降舵,,,A,3（中）,5（好）,,,,,,,,,
卷二b3,A-B-A-002,B（单选题）,,在无人机飞行中，（ ）操作可以控制无人机的前后移动。,调节油门,调节副翼,调节方向舵,调节升降舵,,,D,3（中）,5（好）,,,,,,,,,
卷十b4,A-B-A-002,B（单选题）,,无人机在悬停时，（ ）操作是保持稳定的关键。,快速移动摇杆,微调油门和姿态,关闭遥控器,增加飞行速度,,,B,3（中）,5（好）,,,,,,,,,
卷二b4,A-B-A-003,B（单选题）,,在航空气象中，（ ）天气现象对无人机飞行影响最大。,晴天,大风,轻微雾霾,低云层,,,B,3（中）,5（好）,,,,,,,,,
卷三b3,A-B-A-003,B（单选题）,,在航空气象中，（ ）是判断能见度的重要指标。,风速,云高,大气压力,雾或霾的浓度,,,D,3（中）,5（好）,,,,,,,,,
卷三b4,A-B-A-004,B（单选题）,,（ ）是无人机产生升力的关键因素。,螺旋桨的旋转速度,电池容量,机身重量,摄像头分辨率,,,A,3（中）,5（好）,,,,,,,,,
卷四b3,A-B-A-004,B（单选题）,,飞行原理中，（）是描述空气对机翼产生升力的主要理论。,牛顿第一定律,伯努利定理,热力学第二定律,欧姆定律,,,B,3（中）,5（好）,,,,,,,,,
卷四b4,A-B-A-005,B（单选题）,,在无人机通信系统中，（ ）技术常用于远程控制和数据传输。,蓝牙,Wi-Fi,无线电频率（RF）,红外线,,,C,3（中）,5（好）,,,,,,,,,
卷五b3,A-B-A-005,B（单选题）,,在无人机通信中，（ ）干扰可能影响信号稳定性。,低湿度,高温,电磁干扰,低风速,,,C,3（中）,5（好）,,,,,,,,,
卷五b4,A-B-A-006,B（单选题）,,（ ）是无人机实现自主导航的关键技术。,电池容量,飞控算法,摄像头分辨率,螺旋桨尺寸,,,B,3（中）,5（好）,,,,,,,,,
卷六b3,A-B-A-006,B（单选题）,,（ ）导航方式适合在GPS信号弱的环境中使用。,惯性导航系统（INS）,纯GPS导航,红外导航,蓝牙导航,,,A,3（中）,5（好）,,,,,,,,,
卷六b4,A-B-A-007,B（单选题）,,在无人机测试飞行中，（ ）是确保飞行安全的关键操作。,随意选择飞行区域,保持无人机在视距范围内飞行,忽略天气条件,快速起飞以节省时间,,,B,3（中）,5（好）,,,,,,,,,
卷七b3,A-B-A-007,B（单选题）,,在无人机测试飞行中，（ ）是防止碰撞的重要措施。,关闭避障系统,保持高速飞行,启用避障功能并观察周围环境,忽略飞行区域内的障碍物,,,C,3（中）,5（好）,,,,,,,,,
卷七b4,A-B-A-008,B（单选题）,,在无人机故障检测中，（ ）是判断电机故障的常见方法。,检查电池电量,监听电机异响或观察转速异常,测试摄像头分辨率,检查遥控器信号强度,,,B,3（中）,5（好）,,,,,,,,,
卷八b3,A-B-A-008,B（单选题）,,在无人机故障检测中，（ ）是判断GPS模块故障的关键步骤。,检查摄像头画面,测试GPS信号强度和定位精度,观察螺旋桨转速,检查遥控器电量,,,B,3（中）,5（好）,,,,,,,,,
卷八b4,A-B-A-009,B（单选题）,,在无人机故障维修中，（ ）是更换螺旋桨时的正确操作。, 随意安装螺旋桨，无需区分方向,忽略螺旋桨的损坏程度,使用胶水固定螺旋桨,确保螺旋桨安装方向与电机旋转方向匹配,,,D,3（中）,5（好）,,,,,,,,,
卷九b3,A-B-A-009,B（单选题）,,在无人机故障维修中，（ ）是修复GPS模块故障的正确方法。,拆卸GPS模块并随意安装,忽略GPS信号丢失问题,检查GPS天线连接是否正常，必要时更换模块,将GPS模块暴露在强磁场中,,,C,3（中）,5（好）,,,,,,,,,
卷一c2,A-B-B-001,C（判断题）,,在机械制图中，尺寸标注应尽量清晰、准确，避免重复标注。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷七c3,A-B-B-001,C（判断题）,,机械制图中的尺寸标注不需要考虑加工工艺的要求。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷八c2,A-B-B-001,C（判断题）,,在机械制图中，剖视图可以省略不必要的虚线以增强图纸的清晰度。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷一c3,A-B-B-002,C（判断题）,,在机械设计中，材料的强度是选择材料时需要考虑的重要因素之一。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷二c2,A-B-B-002,C（判断题）,,机械加工中的切削速度与刀具寿命无关。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷八c3,A-B-B-002,C（判断题）,,机械设计中的标准化零件可以降低生产成本并提高生产效率。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷九c2,A-B-B-002,C（判断题）,,机械传动中的齿轮传动效率通常低于带传动。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷二c3,A-B-B-003,C（判断题）,,材料的硬度越高，其耐磨性通常越好。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷三c2,A-B-B-003,C（判断题）,,材料的韧性是指材料在断裂前吸收能量的能力。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷九c3,A-B-B-003,C（判断题）,,复合材料是由两种或两种以上不同性质的材料组合而成。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷十c2,A-B-B-003,C（判断题）,,塑料材料的导电性通常优于金属材料。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷三c3,A-B-B-004,C（判断题）,,无人机的机身材料需要具备轻质和高强度的特性。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷四c2,A-B-B-004,C（判断题）,,无人机的螺旋桨设计不需要考虑空气动力学原理。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷十c3,A-B-B-004,C（判断题）,,无人机的电机座主要用于固定电机并传递动力。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷四c3,A-B-B-005,C（判断题）,,游标卡尺只能用于测量长度，无法测量深度或内径。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷五c2,A-B-B-005,C（判断题）,,在无人机机械装配中，使用普通螺丝刀即可满足所有螺丝拧紧的力矩要求。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷五c3,A-B-B-006,C（判断题）,,在无人机机械装配工艺中，优化装配流程可以提高效率并降低成本。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷六c2,A-B-B-006,C（判断题）,,在无人机机械装配工艺中，装配顺序对装配效率没有影响。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷六c3,A-B-B-007,C（判断题）,,在无人机机械装配中，保持工作区域整洁可以减少安全隐患。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷七c2,A-B-B-007,C（判断题）,,在无人机机械装配中，佩戴防护手套可以防止手部受伤。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷一c4,A-B-C-001,C（判断题）,,二极管具有单向导电性，只能允许电流从一个方向通过。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷七c4,A-B-C-001,C（判断题）,,欧姆定律描述了电流、电压和电阻之间的关系。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷六d2,A-B-C-001,G（多选题）,,在电子电路中，（ ）元件可以用于放大信号。,电阻,电容,晶体管,运算放大器,电感,,CD,3（中）,5（好）,,,,,,,,,
卷二c4,A-B-C-002,C（判断题）,,在电气识图中，电容符号通常用两条平行线表示。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷八c4,A-B-C-002,C（判断题）,,在电气识图中，开关符号通常用一个圆圈和一条斜线表示。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷一d2,A-B-C-002,G（多选题）,,在电气识图中，（ ）符号代表电气设备的基本元件。,电阻,电容,电感,二极管,三极管,,ABCDE,3（中）,5（好）,,,,,,,,,
卷七d2,A-B-C-002,G（多选题）,,电气原理图中，（ ）符号表示电源元件。,电池,发电机,电容,电阻,变压器,,ABE,3（中）,5（好）,,,,,,,,,
卷三c4,A-B-C-003,C（判断题）,,传感器的灵敏度是指输出信号变化量与输入信号变化量的比值。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷九c4,A-B-C-003,C（判断题）,,传感器的线性度是指输出信号与输入信号之间的线性关系程度，线性度越高，传感器的精度越低。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷二d2,A-B-C-003,G（多选题）,,（ ）因素会影响传感器的性能。,温度,湿度,电磁干扰,电源电压波动,传感器的安装位置,,ABCDE,3（中）,5（好）,,,,,,,,,
卷八d2,A-B-C-003,G（多选题）,,（ ）传感器可以用于无人机的姿态测量。,加速度传感器,陀螺仪传感器, 磁力计,温度传感器,湿度传感器,,ABC,3（中）,5（好）,,,,,,,,,
卷四c4,A-B-C-004,C（判断题）,,万用表可以用于测量电压、电流和电阻，但不能测量电容。（ ）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷十c4,A-B-C-004,C（判断题）,,在无人机电气安装中，使用热缩管可以保护电线接头并防止短路。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷三d2,A-B-C-004,G（多选题）,,在无人机电气安装中，（ ）仪器可以用于测量电流。,万用表,示波器,电流钳,逻辑分析仪,温度计,,AC,3（中）,5（好）,,,,,,,,,
卷九d2,A-B-C-004,G（多选题）,,在无人机电气安装中，（ ）工具可以用于焊接电子元件。,电烙铁,剥线钳,螺丝刀,热风枪,焊锡丝,,ADE,3（中）,5（好）,,,,,,,,,
卷五c4,A-B-C-005,C（判断题）,,在无人机电气安装工艺中，接地设计的主要目的是提高电路的抗干扰能力和安全性。（ ）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷四d2,A-B-C-005,G（多选题）,,在无人机电气安装工艺中，（ ）是电线布线的基本原则。,电线接头无需绝缘保护,电线应尽量短且直,电线应与机械运动部件保持距离,电线应固定牢固，避免松动,电线可以随意交叉,,BCD,3（中）,5（好）,,,,,,,,,
卷十d2,A-B-C-005,G（多选题）,,在无人机电气安装工艺中，（ ）工具是焊接电线接头时必需。,螺丝刀,电烙铁,热风枪,焊锡丝,剥线钳,,BDE,3（中）,5（好）,,,,,,,,,
卷五d2,A-B-C-006,G（多选题）,,在固定翼无人机的电气系统安装中，（）措施有助于提高电气系统的安全性和可靠性。,使用合适的线径以确保电流传输能力,在电气设备周围安装防护罩以防止异物接触,定期校准飞控系统以确保飞行安全,使用防水胶带对电气接口进行密封处理,安装避雷装置以防止雷击损坏电气系统,,ABDE,3（中）,5（好）,,,,,,,,,
卷六c4,A-B-C-006,C（判断题）,,在无人机电气安装中，为了确保安全防护，所有的电线和电缆都应当尽可能地紧贴结构框架布置，并且用扎带或其他固定装置每隔一段距离进行固定。此外，所有电气连接点都必须使用防水接头，即使是在预期不会接触到水的环境中。（）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷一b5,A-B-D-001,B（单选题）,,在操作系统中，（ ）是负责管理内存分配和回收的模块。,文件系统,进程管理,内存管理,设备管理,,,C,3（中）,5（好）,,,,,,,,,
卷四b5,A-B-D-001,B（单选题）,,在网络通信中，（ ）协议用于将域名解析为IP地址。,HTTP,FTP,DNS,TCP,,,C,3（中）,5（好）,,,,,,,,,
卷七b5,A-B-D-001,B（单选题）,,在网络通信中，（ ）是用于确保数据传输可靠性的协议。,HTTP,UDP,DNS,TCP,,,D,3（中）,5（好）,,,,,,,,,
卷十b5,A-B-D-001,B（单选题）,,在计算机安全中，（ ）是防止未经授权访问系统的有效方法。,使用弱密码,启用防火墙,关闭系统更新,忽略数据备份,,,B,3（中）,5（好）,,,,,,,,,
卷二b5,A-B-D-002,B（单选题）,,在无人机调试软件中，（ ）功能用于更新无人机的固件。,传感器校准,飞行日志下载,固件升级,软件升级,,,C,3（中）,5（好）,,,,,,,,,
卷五b5,A-B-D-002,B（单选题）,,无人机地面站的主要功能包括对无人机飞行数据的监测接收存储和回放。模块不属于无人机地面站的系统结构的是（ ）。,通信模块,数据显示模块,历史数据回放模块,机械维护模块,,,D,3（中）,5（好）,,,,,,,,,
卷八b5,A-B-D-002,B（单选题）,,在无人机地面站的通信模块中，通信方式被用于地面站与数传电台的通信的是（ ）。,USB通信,RS-232串行通信,蓝牙通信,Wi-Fi通信,,,B,3（中）,5（好）,,,,,,,,,
卷三b5,A-B-D-003,B（单选题）,,在Microsoft Excel中，功能用于快速填充序列的是（ ）。,自动求和,条件格式,自动填充,排序,,,C,3（中）,5（好）,,,,,,,,,
卷六b5,A-B-D-003,B（单选题）,,在Microsoft Word中，快捷键用于保存文档的是（ ）。,Ctrl + S,Ctrl + P,Ctrl + V,Ctrl + X,,,A,3（中）,5（好）,,,,,,,,,
卷九b5,A-B-D-003,B（单选题）,,在Microsoft PowerPoint中，功能用于添加动画效果的是（ ）。,设计 > 动画,动画 > 添加动画,插入 > 动画,幻灯片放映 > 动画,,,B,3（中）,5（好）,,,,,,,,,
卷一b6,A-B-E-001,B（单选题）,,（ ）不是劳动法保障的基本权益。,工资福利,安全与健康,合同自由,工时休假,,,C,3（中）,5（好）,,,,,,,,,
卷四b6,A-B-E-001,B（单选题）,,劳动法规定，每周工作时间不超过（ ）小时。,40小时,44小时,48小时,52小时,,,B,3（中）,5（好）,,,,,,,,,
卷七b6,A-B-E-001,B（单选题）,,事故原因属于管理缺陷的是（ ）。,安全教育不足,冒险进入危险场所,个人防护用品缺陷,作业场所狭窄,,,A,3（中）,5（好）,,,,,,,,,
卷十b6,A-B-E-001,B（单选题）,,劳动合同的解除应当提前（ ）天通知对方。,15天,30天,45天,60天,,,B,3（中）,5（好）,,,,,,,,,
卷二b6,A-B-E-002,B（单选题）,,根据《中华人民共和国安全生产法》，生产经营单位的主要负责人对本单位的安全生产工作全面负责，（ ）不是其职责。,建立、健全本单位安全生产责任制,组织制定本单位安全生产规章制度和操作规程,保证本单位安全生产投入的有效实施,亲自进行每一次安全检查,,,D,3（中）,5（好）,,,,,,,,,
卷五b6,A-B-E-002,B（单选题）,,安全生产中的“三同时”制度指的是（ ）。,同时设计、同时施工、同时投入生产和使用,同时设计、同时施工、同时验收,同时设计、同时投入生产和使用、同时维护,同时施工、同时投入生产和使用、同时验收,,,A,3（中）,5（好）,,,,,,,,,
卷八b6,A-B-E-002,B（单选题）,,安全生产中的“三级安全教育”包括（ ）内容。,厂级安全教育、车间级安全教育、班组安全教育,厂级安全教育、车间级安全教育、岗位安全教育,厂级安全教育、班组安全教育、个人安全教育,车间级安全教育、班组安全教育、岗位安全教育,,,A,3（中）,5（好）,,,,,,,,,
卷三b6,A-B-E-003,B（单选题）,,（ ）污染物是导致酸雨的主要原因。,二氧化碳 (CO₂),二氧化硫 (SO₂),甲烷 (CH₄),氮氧化物 (NOₓ),,,B,3（中）,5（好）,,,,,,,,,
卷六b6,A-B-E-003,B（单选题）,,（ ）方法可以有效减少塑料污染。,增加塑料袋的使用,推广使用一次性塑料制品,回收利用塑料制品,增加塑料生产,,,C,3（中）,5（好）,,,,,,,,,
卷九b6,A-B-E-003,B（单选题）,,根据《中华人民共和国环境保护法》，（ ）是企业事业单位和其他生产经营者应当履行的义务。,破坏环境,缴纳环境保护税,不公布环境信息,排放污染超标污水,,,B,3（中）,5（好）,,,,,,,,,
卷一c5,A-B-F-001,C（判断题）,,《中华人民共和国劳动法》规定，劳动者享有平等就业和选择职业的权利、取得劳动报酬的权利、休息休假的权利、获得劳动安全卫生保护的权利、接受职业技能培训的权利、享受社会保险和福利的权利、提请劳动争议处理的权利以及法律规定的其他劳动权利。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷二c5,A-B-F-002,C（判断题）,,《中华人民共和国劳动合同法》规定，劳动者在试用期内可以随时通知用人单位解除劳动合同，无需提前通知。(),对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷三c5,A-B-F-003,C（判断题）,,《中华人民共和国安全生产法》规定，生产经营单位的从业人员有权了解其作业场所和工作岗位存在的危险因素、防范措施及事故应急措施，有权对本单位的安全生产工作提出建议。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷四c5,A-B-F-004,C（判断题）,,《中华人民共和国环境保护法》规定，企业事业单位和其他生产经营者应当防止、减少环境污染和生态破坏，对所造成的损害依法承担责任。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷五c5,A-B-F-005,C（判断题）,,产品质量应当检验合格，特殊情况下“处理品”可以代表合格产品销售。（）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷六c5,A-B-F-006,C（判断题）,,《中华人民共和国民用航空法》修订征求意见稿明确了14种危及民用航空安全和秩序的非法干扰行为。(),对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷七c5,A-B-F-007,C（判断题）,,通用航空飞行管制条例》规定，所有飞行必须预先提出申请，经批准后方可实施，以确保飞行安全。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷八c5,A-B-F-008,C（判断题）,,《民用航空安全管理规定》(CCAR-398)自2018年3月16日起施行，规定了国内民用航空生产经营活动的安全管理要求，适用于民用航空产品型号设计或者制造单位。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷九c5,A-B-F-009,C（判断题）,,根据《民用无人机驾驶员管理规定》，无人机驾驶员在飞行前必须进行充分的准备，包括检查无人机的设备状态和飞行环境。（）,对,错,,,,,A,3（中）,5（好）,,,,,,,,,
卷十c5,A-B-F-010,C（判断题）,,《民用无人驾驶航空器实名制登记管理规定》要求所有民用无人机，无论重量大小，都必须进行实名登记。（）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷一b7,B-A-A-001,B（单选题）,,（）是指电源在单位时间内电路元件上能量的最大变化量，是具有大小及正负的物理量‌。,发动机的最大功率,发动机的燃油消耗率,发动机的使用寿命,发动机的重量,,,A,3（中）,5（好）,,,,,,,,,
