,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,解析,,,,,,,,,,,
15,A-A-A-003,B（单选题）,,职业道德行为评价的类型不包括（）。,社会评价,上级评价,集体评价,自我评价,,,B,3（中）,5（好）,,,,,,,,,,,,
16,A-A-A-003,B（单选题）,,衡量一个公民精神文明水平高低的重要标尺是（）。,职业道德,公民道德,遵纪守法,网络道德,,,B,3（中）,4（较好）,,,,,,,,,,,,
17,A-A-A-003,C（判断题）,,职业道德行为评价按主体不同可以分为社会评价、集体评价和自我评价。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
18,A-A-A-003,C（判断题）,,对职业道德行为进行评价应“以事实为依据，以法律为准绳”。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
19,A-A-A-004,B（单选题）,,法律对道德的影响主要体现是（）。,强制执行和惩罚措施,规范和约束行为范围,宣传道德价值观,保护公民权利和自由,,,B,3（中）,5（好）,,,,,,,,,,,,
20,A-A-A-004,B（单选题）,,道德与法律是社会规范的两个重要方面，他们之间的关系是（）。,范围相同,互不重叠,相辅相成,层次相同,,,C,3（中）,5（好）,,,,,,,,,,,,
21,A-A-A-004,B（单选题）,,法律更注重事后和判决和惩戒性，职业道德更注重事前对人们进行教育，因此具有（）。,预防性,先进行,统一性,互补性,,,A,3（中）,5（好）,,,,,,,,,,,,
22,A-A-A-004,B（单选题）,,法律通过强制力来强化道德作用，确保道德底线，对道德起到促进作用，是道德的（）。,基础,补充,延续,支撑,,,D,3（中）,5（好）,,,,,,,,,,,,
23,A-A-A-004,C（判断题）,,触犯了法律就一定违反了职业道德。（）,正确,错误,,,,,A,4（较难）,5（好）,,,,,,,,,,,,
24,A-A-A-004,C（判断题）,,职业道德和法律都体现人民群众的利益和意志。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
25,A-A-B-001,B（单选题）,,关于遵纪守法正确的说法是（）。,只要品德端正，学不学法无所谓,金钱对人的诱惑力要大于法纪对人的约束力,法律是由人执行的，执行时不能不考虑人情和权力等因素,遵纪守法与职业道德要求具有一致性,,,D,3（中）,5（好）,,,,,,,,,,,,
26,A-A-B-001,B（单选题）,,假设你在工作中出现了一次小的失误，暂时还未给单位造成什么损失，领导也没有发现在这种情况下，你认为最好的一种处理办法是（）。,不向任何人提起这件事,不告诉任何人，自己在以后的工作中弥补过失,告诉领导，承认自己的过失并承担相应的责任,告诉自己最好的朋友，请他帮自己想一个最好的办法,,,C,3（中）,5（好）,,,,,,,,,,,,
27,A-A-B-001,B（单选题）,,“5.12地震”中，德阳汉旺东汽中学高二（一）班老师谭千秋正在上课，危急时刻张开双臂、躬下身躯护住课桌下的4名同学，献出了51岁的生命，这是（）。的最高表现形式,奉献社会,忠于职守,诚实守信,热爱本职,,,B,4（较难）,5（好）,,,,,,,,,,,,
28,A-A-B-001,B（单选题）,,关于爱岗敬业表述不符的是（）。,抓住机遇、竞争上岗,具有奉献精神,勤奋学习，刻苦钻研业务,认真履行岗位职责,,,A,3（中）,5（好）,,,,,,,,,,,,
29,A-A-B-001,C（判断题）,,在工作中，只要自己的行为不违反法律法规，就可以不遵守公司规定。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
30,A-A-B-001,C（判断题）,,酒后开车只违反了交通法规，不违反职业道德。（）,正确,错误,,,,,B,3（中）,4（较好）,,,,,,,,,,,,
31,A-A-B-002,B（单选题）,,某工程队在施工时要把网线穿过一根10米长，但直径只有3厘米的管道，而且管道已经砌在墙体里，并且绕了3个弯，用常规方法无法完成任务一位工程师想出一个主意:从宠物市场买来一只老鼠，把一根线绑在老鼠身上，让老鼠沿着管子跑，这样网线安装的难题顺利得到解决这个案例表明（）。,创新的本质是突破,这种方法缺乏专业性，不符合创新的本质,开辟一个新市场才属于创新,这只是歪打正着，不是真正的创新,,,A,3（中）,5（好）,,,,,,,,,,,,
32,A-A-B-002,B（单选题）,,关于创新的论述，正确的是（）。,创新与继承根本对立,创新就是独立自主,创新是民族进步的灵魂,创新不需要引进国外新技术,,,C,3（中）,5（好）,,,,,,,,,,,,
33,A-A-B-002,B（单选题）,,历涛用1千克面粉，制作并拉出2097152根面条，累计长度为2852千米，相当于从北京到新疆哈密市的距离历涛拉出的面条细如丝，根根不断，一个针眼可穿人18根面条，这个案例表现了（）。的职业道德模范,严于律己,探索创新,技艺精湛,执行工艺,,,C,3（中）,5（好）,,,,,,,,,,,,
34,A-A-B-002,B（单选题）,,《庄子》中记载的庖丁解牛的故事体现了（）。的职业道德模范,技艺精湛,精益求精,专心致志,执行工艺,,,B,3（中）,5（好）,,,,,,,,,,,,
35,A-A-B-002,C（判断题）,,我国著名画家齐白石，1955年荣获国际和平奖他创作的作品深受世界人民欢迎，赢得高度评价他在艺术创作的道路上，几十年如一日，勤奋不懈，即使在八十岁高龄时，还每日坚持挥毫作画这个案例体现了勤学苦练、精益求精的职业道德模范。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
36,A-A-B-002,C（判断题）,,开拓创新最重要的是注重创新的方法，其余是次要的。（）,正确,错误,,,,,B,2（易）,5（好）,,,,,,,,,,,,
37,A-A-B-003,B（单选题）,,在无人机电池即将耗尽时，应该（）。,继续飞行，直到电池耗尽,寻找最近的地点降落,快速返回起点,缓慢降低高度，寻找安全地点降落,,,D,3（中）,5（好）,,,,,,,,,,,,
38,A-A-B-003,B（单选题）,,为确保安全充电，无人机电池最佳温度范围是（）。,负10°C至50°C,0°C至40°C,5°C至35°C,15°C至30°C,,,D,3（中）,5（好）,,,,,,,,,,,,
39,A-A-B-003,B（单选题）,,在强风条件下，无人机的飞行高度应该控制在（）。以下,100米,200米,300米,400米,,,A,3（中）,5（好）,,,,,,,,,,,,
40,A-A-B-003,B（单选题）,,在飞行中，无人机突然失去GNSS信号，处理方法是（）。,继续飞行，直到找到GNSS信号,立即降落无人机,尝试手动控制无人机,先稳定无人机，再尝试恢复GNSS信号,,,D,3（中）,5（好）,,,,,,,,,,,,
41,A-A-B-003,C（判断题）,,无人机在飞行过程中，突然遇到鸟类，应该缓慢改变飞行方向，避免惊吓鸟类。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
42,A-A-B-003,C（判断题）,,在维修无人机时，可使用强酸清洗无人机外壳。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
43,A-A-B-004,B（单选题）,,在使用生产设备时，不符合规程的是（）。,遵守工艺流程,穿戴防护装备,超负荷运转设备,定期维护保养,,,C,3（中）,5（好）,,,,,,,,,,,,
44,A-A-B-004,B（单选题）,,在生产过程中，如果发现设备异常，做法正确的是（）。,立即停机检查,继续使用直到故障发生,自行拆卸设备进行修理,忽略异常继续工作,,,A,3（中）,5（好）,,,,,,,,,,,,
45,A-A-B-004,B（单选题）,,设备维护规程中的“五定”原则通常包括（）。,定时、定点、定量、定质、定人,定时、定位、定量、定质、定法,定人、定时、定位、定量、定质,定人、定时、定位、定量、定法,,,A,3（中）,5（好）,,,,,,,,,,,,
46,A-A-B-004,B（单选题）,,（）。步骤直接影响到产品的最终质量,原材料采购,产品设计,工艺执行,品质检验,,,C,3（中）,5（好）,,,,,,,,,,,,
47,A-A-B-004,C（判断题）,,执行工艺的优化通常需要考虑成本、时间、人力、资源、质量、效率等综合因素。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
48,A-A-B-004,C（判断题）,,执行工艺中的"工艺参数"主要是材料种类、设备型号两项。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
49,A-A-B-005,B（单选题）,,《吕氏春秋》中讲到，“万人操弓，共射一招，招无不中”，这说明了（）。,“宝剑锋自磨砺出，梅花香自苦寒来”,“小胜靠智，大胜靠德”,“一双筷子容易折，十双筷子断就难’,“成由勤俭败由奢”,,,C,3（中）,5（好）,,,,,,,,,,,,
50,A-A-B-005,B（单选题）,,“单丝不成线，独木不成林”说明了（）。,要勇于坚持真理,要正确处理个人与集体的关系，注重集体力量,做事要更公平公正,要发扬勤劳节俭的优良传统,,,B,3（中）,5（好）,,,,,,,,,,,,
51,A-A-B-005,B（单选题）,,“舟必漏而后人水，石必湿而后苔生”说明（）。,要努力实现自身的社会价值,个人品德修养要从细微处严格要求自己，对不好的品行要防微杜渐,要积极向前人学习,要正确处理公与私之间的关系,,,B,5（难）,5（好）,,,,,,,,,,,,
52,A-A-B-005,B（单选题）,,符合“慎独”道德规范的是（）。,夜以继日，废寝忘食,精忠报国，反对侵略,修身为本，严于律已,立志勤学，持之以恒,,,C,3（中）,5（好）,,,,,,,,,,,,
53,A-A-B-005,C（判断题）,,“慎独”就是在无人监督的情况下，也要坚持自己的内心真诚、光明磊落的道德信念，不做不道德的事情。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
54,A-A-B-005,C（判断题）,,团结同事首先要坦诚待人、热情忍让、宽厚仁慈，同时重点考虑本部门及个人利益。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
55,A-A-B-006,B（单选题）,,文明生产的核心价值之一是可持续性，这意味着（）。,生产过程不能消耗自然资源,生产过程不能产生废弃物,生产过程要尽可能减少对环境的影响,生产过程要保护野生动物,,,C,3（中）,5（好）,,,,,,,,,,,,
56,A-A-B-006,B（单选题）,,在包装材料的选择上，（）。选择更符合环保理念,可降解材料,可回收材料,少量包装,使用可重复使用的包装,,,A,3（中）,5（好）,,,,,,,,,,,,
57,A-A-B-006,B（单选题）,,在公共场所吸烟且不听从劝阻，这主要违背了（）。,治安管理规定,消防安全规定,公共场所禁烟规定,城市管理规定,,,C,3（中）,4（较好）,,,,,,,,,,,,
58,A-A-B-006,B（单选题）,,企业通过（）。处理生产废料以实现资源的最大化利用,分类回收,循环利用,转售给专业回收公司,直接填埋或焚烧,,,B,3（中）,5（好）,,,,,,,,,,,,
59,A-A-B-006,C（判断题）,,环境保护坚持保护优先、预防为主、综合治理、公众参与、损害担责的原则。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
60,A-A-B-006,C（判断题）,,绿色工厂是指原料无害化、生产洁净化、废物资源化、能源低碳化的企业，是绿色制造核心实施单元，对用地集约率没有要求。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
61,A-B-A-001,B（单选题）,,不是无人机特点的是（）。,无人驾驶,远程控制,超快速飞行,可执行任务,,,B,3（中）,5（好）,,,,,,,,,,,,
62,A-B-A-001,B（单选题）,,无人机（UAV）的定义是（）。,一种由人类远程控制的飞行器,利用无线电遥控设备和自备的程序控制装置操纵的不载人飞行器,利用无线电遥控设备操纵的快速飞行的不载人飞行器,利用自备的程序控制装置操纵的快速飞行的不载人飞行器,,,B,3（中）,4（较好）,,,,,,,,,,,,
63,A-B-A-001,B（单选题）,,不是无人机特点的是（）。,体积小,造价高,机动性好,使用方便,,,B,3（中）,5（好）,,,,,,,,,,,,
64,A-B-A-001,B（单选题）,,无人机是利用（）。设备和自备的程序控制装置操纵的不载人飞机,遥控,导航,飞行,通讯,,,A,3（中）,5（好）,,,,,,,,,,,,
65,A-B-A-001,C（判断题）,,无人机是完全不需要人工干预就能自主飞行的飞行器。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
66,A-B-A-001,C（判断题）,,无人机的飞行原理和有人驾驶飞机的飞行原理完全不同。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
67,A-B-A-002,B（单选题）,,（）。不是无人机系统必备的组成部分,飞行器,传感器,数据处理设备,操作员,,,D,3（中）,5（好）,,,,,,,,,,,,
68,A-B-A-002,B（单选题）,,无人机系统中，（）。部分主要负责飞行控制、导航与自主飞行能力的实现,飞行平台,任务载荷,飞控系统,数据链系统,,,C,3（中）,4（较好）,,,,,,,,,,,,
69,A-B-A-002,B（单选题）,,无人机系统中，负责提供升力和推进力的部分是（）。,机翼,发动机,螺旋桨,电池,,,C,3（中）,5（好）,,,,,,,,,,,,
70,A-B-A-002,B（单选题）,,相比于人的大脑，无人机的'大脑'指的是（）。,机身,传感器,飞行控制系统,电机,,,C,3（中）,5（好）,,,,,,,,,,,,
71,A-B-A-002,C（判断题）,,无人机系统只包括无人机本身，不包括地面控制站等部分。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
72,A-B-A-002,C（判断题）,,无人机系统中的数据链路主要用于传输无人机的位置信息。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
73,A-B-A-003,B（单选题）,,（）。不是用于无人机模拟飞行的软件,MicrosoftFlightSimulator,凤凰模拟器,DroneRacer:FlyStuntSimulator,RealFlightG7,,,A,3（中）,5（好）,,,,,,,,,,,,
74,A-B-A-003,B（单选题）,,哪种操作系统通常对无人机模拟飞行软件兼容性最好（）。,Windows,macOS,Linux,ChromeOS,,,A,3（中）,5（好）,,,,,,,,,,,,
75,A-B-A-003,B（单选题）,,"在安装无人机模拟飞行软件时，首先应该做的是（）。
",插入加密狗（如果有）,检查系统配置是否满足要求,下载软件安装包,创建软件快捷方式,,,B,3（中）,5（好）,,,,,,,,,,,,
76,A-B-A-003,B（单选题）,,使用无人机模拟飞行软件时，（）。不是基本操作,起飞和降落,悬停控制,飞行环境设置,物理引擎调整,,,D,3（中）,5（好）,,,,,,,,,,,,
77,A-B-A-003,C（判断题）,,安装无人机模拟飞行软件之前，需要确保计算机的硬件配置符合该软件的最低要求。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
78,A-B-A-003,C（判断题）,,所有无人机模拟飞行软件都需要连接到互联网才能运行。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
79,A-B-A-004,B（单选题）,,多旋翼无人机模拟飞行训练时飞行姿态的改变是通过调整（）。来实现,改变电机转速,改变螺旋桨桨距,改变桨叶角度,改变电机大小,,,A,3（中）,5（好）,,,,,,,,,,,,
80,A-B-A-004,B（单选题）,,在多旋翼无人机模拟飞行软件中，用于起飞的操作是（）。,向下推动油门杆,向上推动油门杆,向左推动方向杆,向右推动方向杆,,,B,3（中）,5（好）,,,,,,,,,,,,
81,A-B-A-004,B（单选题）,,在多旋翼无人机模拟飞行中，用于下降的操作是（）。,向下推动油门杆,向上推动油门杆,向左推动方向杆,向右推动方向杆,,,A,3（中）,5（好）,,,,,,,,,,,,
82,A-B-A-004,B（单选题）,,在模拟飞行中，无人机的悬停通常需要调整（）。控制杆,油门杆,俯仰杆,横滚杆,偏航杆,,,A,3（中）,5（好）,,,,,,,,,,,,
83,A-B-A-004,C（判断题）,,多旋翼无人机模拟飞行训练可以完全替代实际飞行训练。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
84,A-B-A-004,C（判断题）,,在模拟飞行训练中，学员可以练习无人机的起飞、悬停、降落和基本飞行操作。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
85,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行时依靠（）。调整飞行高度,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,C,3（中）,5（好）,,,,,,,,,,,,
86,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行时依靠（）。调整飞行方向,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,D,3（中）,5（好）,,,,,,,,,,,,
87,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行五边航线的第一边是（）。,离场边,下风边,基地边,上风边,,,A,3（中）,5（好）,,,,,,,,,,,,
88,A-B-A-005,B（单选题）,,固定翼无人机五边航线的每一边飞行过程中，主要的姿态控制由（）。完成,升降舵和方向舵,副翼和升降舵,副翼、升降舵和方向舵协同,副翼和方向舵,,,C,3（中）,5（好）,,,,,,,,,,,,
89,A-B-A-005,C（判断题）,,固定翼无人机模拟飞行训练时，速度越快越好，因为这样能更快完成训练任务。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
90,A-B-A-005,C（判断题）,,通过固定翼无人机模拟飞行训练，可以提高飞行员在实际飞行中的应急处理能力。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
91,A-B-A-006,B（单选题）,,大气的最外层是（）。,对流层,平流层,热层,散逸层,,,D,3（中）,5（好）,,,,,,,,,,,,
92,A-B-A-006,B（单选题）,,大气中含量最多的气体是（）。,氧气,氮气,二氧化碳,氩气,,,B,3（中）,5（好）,,,,,,,,,,,,
93,A-B-A-006,B（单选题）,,标准大气规定海平面的气温是（）。,0℃,15℃,20℃,25℃,,,B,3（中）,5（好）,,,,,,,,,,,,
94,A-B-A-006,B（单选题）,,在标准大气中，海平面上的大气压是（）。,900hPa,1013.25hPa,1050hPa,1100hPa,,,B,3（中）,5（好）,,,,,,,,,,,,
95,A-B-A-006,C（判断题）,,大气的主要成分是氮气和氧气，它们分别占大气体积的大约78%和21%。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
96,A-B-A-006,C（判断题）,,大气的温度随着高度的增加而逐渐升高，这种变化主要发生在对流层。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
97,A-B-A-007,B（单选题）,,（）。是最基本的气象要素之一,能见度,云量,气温,日照时数,,,C,3（中）,5（好）,,,,,,,,,,,,
98,A-B-A-007,B（单选题）,,（）。气象要素主要反映大气的干湿程度,风速,相对湿度,气压,降水,,,B,3（中）,5（好）,,,,,,,,,,,,
99,A-B-A-007,B（单选题）,,气象观测中，用来衡量空气冷热程度的要素是（）。,露点温度,体感温度,气温,地温,,,C,3（中）,5（好）,,,,,,,,,,,,
100,A-B-A-007,B（单选题）,,素通常用百帕（hPa）作为单位的气象要是（）。,风速,气温,气压,湿度,,,C,5（难）,5（好）,,,,,,,,,,,,
101,A-B-A-007,C（判断题）,,气温、气压、湿度和风速都是气象中的基本要素。（）,正确,错误,,,,,A,2（易）,5（好）,,,,,,,,,,,,
102,A-B-A-007,C（判断题）,,在气象学中，露点温度是指空气中的水汽达到饱和并开始凝结成水滴的温度。（）,正确,错误,,,,,A,2（易）,5（好）,,,,,,,,,,,,
103,A-B-A-008,B（单选题）,,气象参数对飞行影响最大的是（）。,温度,湿度,风速,气压,,,C,2（易）,5（好）,,,,,,,,,,,,
104,A-B-A-008,B（单选题）,,（）。不属于影响飞机起降的主要气象因素,风速和风向,空气的密度,大气压力,空中的水汽含量,,,D,2（易）,5（好）,,,,,,,,,,,,
105,A-B-A-008,B（单选题）,,如果无人机在飞行过程中遭遇雷暴，应该（）。,继续飞行,尝试降落,返回起点,增加高度,,,B,2（易）,5（好）,,,,,,,,,,,,
106,A-B-A-008,B（单选题）,,无人机飞行的最佳天气条件是（）。,多云且有雾,晴朗且微风,高温且多湿,阴天且有小雨,,,B,2（易）,5（好）,,,,,,,,,,,,
107,A-B-A-008,C（判断题）,,降水只会影响飞机的能见度，对飞机的其他性能没有影响。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
108,A-B-A-008,C（判断题）,,顺风飞行时，风速越大对飞行越有利。（）,正确,错误,,,,,B,2（易）,5（好）,,,,,,,,,,,,
109,A-B-A-009,B（单选题）,,雷暴天气对无人机飞行的主要威胁是（）。,能见度降低,强风和雷电,动力效率下降,通讯中断,,,B,3（中）,5（好）,,,,,,,,,,,,
110,A-B-A-009,B（单选题）,,低空风切变是指在短时间内风速和风向的急剧变化，这对无人机飞行的影响主要是（）。,导航困难,能源消耗增加,控制难度加大，可能导致失控,发动机或电机过热,,,C,3（中）,5（好）,,,,,,,,,,,,
111,A-B-A-009,B（单选题）,,无人机在（）。天气现象中飞行，机身容易出现抖动和不稳定的飞行状态,沙尘天气,高湿度天气,顺风飞行,轻雾天气,,,A,3（中）,5（好）,,,,,,,,,,,,
112,A-B-A-009,B（单选题）,,（）。会导致无人机的电池续航能力急剧下降,低温天气,小雪天气,轻度雾霾天气,微风天气,,,A,3（中）,5（好）,,,,,,,,,,,,
113,A-B-A-009,C（判断题）,,飞机积冰主要发生在含有过冷水滴的云层中。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
114,A-B-A-009,C（判断题）,,高空激流通常出现在对流层顶部或平流层底部，对飞行影响较小。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
115,A-B-A-010,B（单选题）,,理想气体状态方程PV=nRT中的R代表（）。,气体的密度,气体常数,气体的压力,气体的体积,,,B,3（中）,5（好）,,,,,,,,,,,,
116,A-B-A-010,B（单选题）,,大气的粘性主要是由于（）。,大气分子的不规则热运动和相互碰撞,大气中的杂质颗粒,地球引力对大气分子的作用,太阳辐射对大气的影响,,,A,3（中）,5（好）,,,,,,,,,,,,
117,A-B-A-010,B（单选题）,,大气的低密度特性使得在高海拔地区（）。,声音传播速度更快,飞行器需要更大的升力才能飞行,气压变化对天气影响较小,更容易出现雷电现象,,,B,3（中）,5（好）,,,,,,,,,,,,
118,A-B-A-010,B（单选题）,,理想气体状态方程中，当体积V保持不变时，压力P与温度T的关系是（）。,成正比,成反比,无关,先增加后减少,,,A,3（中）,5（好）,,,,,,,,,,,,
119,A-B-A-010,C（判断题）,,大气在任何情况下都可以被看作是不可压缩流体。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
120,A-B-A-010,C（判断题）,,根据基本气态方程，当温度不变时，气体的压力和体积成反比，这一规律在所有大气环境下都严格成立。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
121,A-B-A-011,B（单选题）,,根据伯努利原理，流体速度增加时，（）。会减小,温度,密度,压强,粘性,,,C,3（中）,5（好）,,,,,,,,,,,,
122,A-B-A-011,B（单选题）,,升力是如何产生的（）。,通过增加飞机的重量,通过减少飞机的阻力,通过机翼上下表面气流速度的差异,通过增加发动机推力,,,C,3（中）,5（好）,,,,,,,,,,,,
123,A-B-A-011,B（单选题）,,飞行速度对升力的影响是（）。,与飞行速度成正比,与飞行速度的平方成正比,与飞行速度成反比,升力与飞行速度无关,,,B,3（中）,5（好）,,,,,,,,,,,,
124,A-B-A-011,B（单选题）,,升力公式“L=1/2ρV2ClS中的Cl代表（）。,空气密度,飞行速度,机翼面积,升力系数,,,D,3（中）,5（好）,,,,,,,,,,,,
125,A-B-A-011,C（判断题）,,飞机的升力主要来源于机翼上下表面的压力差。（）,正确,错误,,,,,A,2（易）,5（好）,,,,,,,,,,,,
126,A-B-A-011,C（判断题）,,其他条件不变的情况下，增加飞机的速度可以增加升力。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
127,A-B-A-012,B（单选题）,,多旋翼无人机在空中悬停主要依靠（）。力来平衡,重力和电磁力,向心力和重力,重力和升力,升力和摩擦力,,,C,3（中）,5（好）,,,,,,,,,,,,
128,A-B-A-012,B（单选题）,,多旋翼无人机通过改变（）。部件的速度来实现上升和下降,机身,起落架,螺旋桨,导航灯,,,C,3（中）,5（好）,,,,,,,,,,,,
129,A-B-A-012,B（单选题）,,多旋翼无人机的方向控制主要依靠（）。传感器来检测旋转运动,陀螺仪校准,气压计,温度传感器,加速度计用于姿态感知,,,A,3（中）,5（好）,,,,,,,,,,,,
130,A-B-A-012,B（单选题）,,多旋翼无人机在没有GPS信号的情况下，通常依靠（）。技术来保持悬停位置,光流传感器,红外传感器,激光雷达和摄像头,声波传感器,,,A,3（中）,5（好）,,,,,,,,,,,,
131,A-B-A-012,C（判断题）,,多旋翼无人机主要依靠改变每个旋翼的转速来实现飞行姿态的控制。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
132,A-B-A-012,C（判断题）,,多旋翼无人机在悬停时，所有旋翼的转速是相同的，并且不会发生变化。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
133,A-B-A-013,B（单选题）,,固定翼无人机的升力主要来源于机翼物理特性中的（）。,重量,形状,颜色,材质,,,B,3（中）,5（好）,,,,,,,,,,,,
134,A-B-A-013,B（单选题）,,固定翼无人机的前进动力主要来自（）。,副翼的控制力,机翼产生的升力,发动机推力,尾翼控制力,,,C,3（中）,4（较好）,,,,,,,,,,,,
135,A-B-A-013,B（单选题）,,在固定翼无人机飞行中，升降舵控制飞机的（）。,俯仰姿态,滚转姿态,偏航姿态,飞行速度,,,A,2（易）,5（好）,,,,,,,,,,,,
136,A-B-A-013,B（单选题）,,固定翼无人机在飞行中，机翼的迎角与升力的关系是（）。,增加迎角增加升力,减少迎角减少升力,迎角不变，升力不变,迎角与升力无关,,,A,2（易）,5（好）,,,,,,,,,,,,
