题目ID,题目陈述,题目类型,内容分类,难度等级,分值,是否启用,选项A,选项B,选项C,选项D,选项E,选项F,正确答案,题目解析,出题人,创建时间,最后修改时间
00031,对于无人机检修工而言，执行严格的职业道德要求时，应重点遵循（）。,多选题,飞行安全,中等,3,是,始终保持个人的责任心，对每一项任务的完成质量负责,可以依据个人经验轻微调整维修操作，忽视部分标准流程,严格遵守工作期间的操作流程和安全规定,在检修任务中随意依赖同事的工作成果，不需要验证,在维修中，适当忽视设备的细节问题，集中解决主要故障,,始终保持个人的责任心，对每一项任务的完成质量负责;严格遵守工作期间的操作流程和安全规定,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00033,在无人机生产车间中，不符合文明生产具体要求的行为是（）。,单选题,飞行安全,中等,2,是,工具和物料摆放整齐，标识清晰,操作人员佩戴安全帽和防护手套,生产过程中随意丢弃废弃物料,定期清理工作区域，保持环境整洁,,,生产过程中随意丢弃废弃物料,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00034,（）在无人机检修工作中，文明生产要求中包含的“安全生产第一”的原则，应当优先于检修过程中所有技术性要求的实施（）。,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00035,以下关于文明生产的具体要求的选项中，正确的有（ ）。,多选题,飞行安全,中等,3,是,生产现场应保持整洁，工具和物料摆放有序,操作人员需佩戴必要的防护装备，如安全帽、手套等,生产过程中应尽量减少噪音和粉尘污染,废弃物料应分类存放，并及时清理,生产设备无需定期维护，只需在故障时修理,,生产现场应保持整洁，工具和物料摆放有序;操作人员需佩戴必要的防护装备，如安全帽、手套等;生产过程中应尽量减少噪音和粉尘污染;废弃物料应分类存放，并及时清理,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00036,爱岗敬业在实际工作中的具体表现不包括以下（）行为。,单选题,飞行安全,中等,2,是,对工作充满热情,定期进行技能提升,忽视安全规程，追求效率,不断学习新技术，适应行业发展,,,忽视安全规程，追求效率,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00037,爱岗敬业的具体要求包括遵守职业道德、提高工作效率和积极参与团队合作。（ ）,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00038,无人机行业的具体要求包括严格遵守航空法规、确保飞行安全和保护用户隐私（ ）。,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00039,无人机行业的具体要求包括（ ）。,多选题,飞行安全,中等,3,是,操作人员需具备扎实的机械原理知识,严格遵守相关空域管理规定,产品设计应追求极致的轻量化，可牺牲部分稳定性,维护保养需按照固定的时间间隔进行，无需考虑实际使用情况,不断提升飞行控制系统的智能化水平,,操作人员需具备扎实的机械原理知识;严格遵守相关空域管理规定;不断提升飞行控制系统的智能化水平,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00040,无人机行业对于飞行场地的具体要求，以下说法正确的是（ ）。,单选题,飞行安全,中等,2,是,要远离人口密集区域，保证安全,场地面积越小越好，便于操作,不需要考虑周边的气候条件,可以随意选择在禁飞区域内,,,要远离人口密集区域，保证安全,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00041,无人机系统基础知识中，无人机的核心组成部分是（ ）。,单选题,飞行原理,中等,2,是,电池,飞行控制系统,机架,电机,,,飞行控制系统,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00042,无人机系统的组成不包括（）。,单选题,飞行原理,中等,2,是,机身结构,飞行控制系统,动力系统,燃料加注设备,,,燃料加注设备,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00043,无人机操控基础知识中，飞行前必须检查的内容是（）。,单选题,飞行原理,中等,2,是,无人机的颜色,无人机的音乐播放功能,电池电量和飞行模式,无人机的外观设计,,,电池电量和飞行模式,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00044,在高海拔地区进行无人机飞行时，最可能导致飞行性能的显著下降的是（）。,单选题,飞行原理,中等,2,是,低气压导致螺旋桨效率降低,空气温度过高使得电池放电效率提升,高湿度导致机载传感器的工作温度升高,风速增加使得GPS信号接收不稳定,,,低气压导致螺旋桨效率降低,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00045,不是无人机产生升力的主要因素有（）。,单选题,飞行原理,中等,2,是,旋翼叶片的旋转速度,旋翼叶片的形状和角度（攻角）,空气密度,无人机的型号,,,无人机的型号,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00046,在无人机的电气安装过程中，以下对确保电气系统正常运行最为重要的是（ ）。,单选题,飞行原理,中等,2,是,电池连接的防护措施,电气线路的合理布局,电气系统的故障诊断功能,电气系统的无线通信模块安装,,,电气线路的合理布局,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00047,在无人机导航系统中，主要用于精确定位的技术是（ ）。,单选题,飞行原理,中等,2,是,气压计高度测量,全球定位系统（GPS）,惯性测量单元（IMU）,超声波传感器,,,全球定位系统（GPS）,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00048,在无人机测试飞行中，安全防护不包括（ ）。,单选题,飞行原理,中等,2,是,佩戴安全帽,检查无人机电池电量,确保飞行场地周围无障碍物,随意在禁飞区进行飞行测试,,,随意在禁飞区进行飞行测试,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00049,在无人机故障检测中，关于传感器故障检测，以下正确的是（ ）。,单选题,飞行原理,中等,2,是,利用专业检测设备读取传感器数据判断,只要无人机能起飞，就不用检测传感器,直接更换所有传感器来排查故障,仅通过观察外观就能确定传感器是否故障,,,利用专业检测设备读取传感器数据判断,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00050,无人机故障维修的基础知识中，首要步骤是（ ）。,单选题,飞行原理,中等,2,是,更换所有可疑部件,重启无人机,检查故障代码,检查电源系统,,,检查故障代码,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00051,在机械识图中，粗实线通常用于表示可见轮廓线。（ ）。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00052,机械识图中，三视图包括主视图、俯视图和左视图，用于全面展示无人机的结构和尺寸。（ ）。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00053,机械技术基础知识对于无人机装调检修工来说是可有可无的，实际操作经验更为重要。（ ）。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00054,机械技术基础知识对于无人机装调检修工来说非常重要，因为它直接关系到设备的维护和故障排除。（ ）,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00055,材料基础知识对于无人机装调检修工来说并不重要，实际操作经验更为关键。（ ）。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00056,（）钛合金作为无人机机体的主要材料之一，其抗腐蚀性和强度远超过常见的铝合金，因此在所有环境条件下，钛合金都是最佳选择。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00057,（）无人机的机械结构设计中，蜂窝结构的机身设计能够有效提升抗冲击能力，因此在大多数无人机的机身中都会广泛使用这种设计。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00058,在无人机机械装配过程中，游标卡尺和千分尺是常用的测量工具，用于精确测量零部件的尺寸。（ ）,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00059,在无人机机械装配过程中，使用扭矩扳手可以确保螺丝紧固力度符合设计要求（ ）。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00060,无人机机械装配时，工具的定期维护保养对于保障装配安全十分重要（ ）。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00061,电子电路基础知识中，关于电路的基本组成，以下说法准确的是（ ）。,单选题,控制算法,中等,2,是,电路仅由电源和负载组成,电路包括电源、负载和中间环节,电路不需要闭合回路,电路中的电流只能由正极流向负极,,,电路不需要闭合回路,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00062,在电子电路中，主要用于整流的原件是（）。,单选题,控制算法,中等,2,是,电阻,电容,二极管,三极管,,,二极管,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00063,电气识图中，用于表示交流电源的符号是（ ）。,单选题,控制算法,中等,2,是,AC,DC,GND,VCC,,,AC,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00064,电气识图知识中，代表电阻的符号是 （）。,单选题,控制算法,中等,2,是,R,C,L,V,,,R,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00065,传感器基础知识中，用于测量无人机飞行姿态的传感器是,单选题,控制算法,中等,2,是,温度传感器,气压传感器,陀螺仪,光流传感器,,,陀螺仪,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00066,无人机在执行飞行任务时，对惯性测量单元（IMU）传感器的误差影响最大的是（）。,单选题,控制算法,中等,2,是,传感器的温度漂移和温度变化,重力加速度的变化,地球磁场的变化,电池电压的波动,,,传感器的温度漂移和温度变化,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00067,无人机电气安装中，必不可少的工具是（ ）。,单选题,控制算法,中等,2,是,电钻,螺丝刀,万用表,剪刀,,,万用表,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00068,在无人机电气安装过程中，用于测量电路中电流大小的仪器是（）。,单选题,控制算法,中等,2,是,万用表,兆欧表,钳形表,示波器,,,钳形表,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00069,无人机调试软件操作过程中，遇到以下情况时，最需要首先进行硬件检查（ ）。,单选题,控制算法,中等,2,是,无人机飞行速度不稳定,飞行控制器不响应输入指令,遥控器信号丢失,电池电量显示正常但飞行时间异常,,,飞行控制器不响应输入指令,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00070,在无人机电气安装过程中，可以有效防止电气火灾的措施是（）。,单选题,控制算法,中等,2,是,使用非阻燃材料包裹电线,增加电源线长度以分散电流,安装过载保护装置和保险丝,将电源线与信号线平行布线,,,安装过载保护装置和保险丝,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00071,计算机终端设备中，以下不是常见的输入设备（）。,单选题,传感器融合,中等,2,是,键盘,鼠标,显示器,扫描仪,,,显示器,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00072,计算机终端设备中，无人机操作中常用的设备是（）。,单选题,传感器融合,中等,2,是,打印机,扫描仪,遥控器,显示器,,,遥控器,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00073,计算机终端设备中，负责处理数据的核心部件是（）。,单选题,传感器融合,中等,2,是,显示器,键盘,中央处理器（CPU）,鼠标,,,中央处理器（CPU）,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00074,某型号无人机使用的是基于实时操作系统（RTOS）的控制系统。在RTOS环境下，最能保障系统的及时响应的特性是（）。,单选题,传感器融合,中等,2,是,支持多线程并发处理，允许同时处理多个任务,支持任务优先级的动态调整，保证高优先级任务的实时执行,采用虚拟化技术隔离任务，以减少任务间的干扰,使用大容量内存，以确保数据可以长时间存储并随时调取,,,支持任务优先级的动态调整，保证高优先级任务的实时执行,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00075,无人机调试软件操作时，为了准确设置飞行参数，需要（）。,单选题,传感器融合,中等,2,是,参考软件操作手册和无人机技术文档,随意设置参数，看无人机飞行效果,模仿他人的参数设置，不考虑自身机型,只设置部分关键参数，忽略其他参数,,,随意设置参数，看无人机飞行效果,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00076,无人机调试软件操作基础知识中，调试前必须完成的步骤是（）。,单选题,传感器融合,中等,2,是,安装游戏软件,连接无人机与电脑,播放音乐,拍照留念,,,连接无人机与电脑,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00077,太阳能动力系统在无人机中的主要作用是（ ）。,单选题,传感器融合,中等,2,是,提供飞行器的动力源,提供飞行器的电池充电,为飞行器的电气系统提供备用电源,调节飞行器的飞行高度,,,提供飞行器的电池充电,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00078,在使用电子表格软件进行数据分析时，可以快速计算一列数据平均值的操作是,单选题,传感器融合,中等,2,是,使用“SUM”函数,使用“AVERAGE”函数,使用“COUNT”函数,使用“MAX”函数,,,使用“AVERAGE”函数,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00079,空中回收系统主要组成部分是（）。,单选题,传感器融合,中等,2,是,阻拦网,捕获装置、回收绳索和缓冲装置,弹射装置,机翼和尾翼,,,捕获装置、回收绳索和缓冲装置,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00080,在使用Excel进行维修数据分析时，最合适去使用Excel的3D引用功能的情景是（）。,单选题,传感器融合,中等,2,是,当需要在同一工作表的不同单元格之间进行平均计算时,当需要跨多个工作簿中的相同单元格范围进行数据汇总时,当需要对多个不同工作表中相同位置的数据进行计算时,当需要对某个数据表中的部分数据进行条件筛选时,,,当需要对多个不同工作表中相同位置的数据进行计算时,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00081,根据《中华人民共和国劳动法》和《中华人民共和国劳动合同法》，劳动者有权拒绝执行存在安全隐患的劳动任务。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00082,根据《中华人民共和国安全生产法》，无人机装调检修工在工作中必须严格遵守安全生产规定，以防止事故发生。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00083,根据《中华人民共和国安全生产法》，无人机检修单位在进行高风险作业时，可以在没有安全生产许可证的情况下进行操作，但需在作业前进行风险评估。,单选题,飞行安全,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00084,（）根据《中华人民共和国环境保护法》，在无人机进行检修时，如果产生废油、废气等污染物，必须按照国家环境保护相关法规对其进行妥善处理，否则可能构成违法行为。,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00085,《中华人民共和国民用航空法》规定，无人机飞行无需向空管部门报备，只需遵守飞行高度限制即可。（ ）,单选题,飞行安全,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00086,根据《通用航空飞行管制条例》，无人机飞行无需向空管部门报备，只需遵守飞行高度限制即可。,单选题,飞行安全,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00087,《民用航空安全管理规定》中明确规定了无人机在特定空域飞行需要提前申请。,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00088,《民用无人机驾驶员管理规定》中，操控轻型无人机在管制空域内飞行，不需要申请飞行计划。,单选题,飞行安全,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00089,根据《轻小无人机运行规定（试行）》，无人机操作人员必须经过专业培训并取得相应资质后才能进行飞行作业。,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00090,根据《民用无人驾驶航空器实名制登记管理规定》，所有民用无人机在使用前必须完成实名制登记。,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00091,太阳能等新能源动力系统的特点包括（）。,多选题,结构组成,中等,3,是,环保且可再生，适合长期任务,能量来源不稳定，受天气影响大,初始投资成本较高,运行维护简单,需要较大的表面积用于能量收集,,环保且可再生，适合长期任务;能量来源不稳定，受天气影响大;初始投资成本较高;需要较大的表面积用于能量收集,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00092,在无人机行业中，太阳能等新能源动力系统应用场景有（）。,多选题,结构组成,中等,3,是,高海拔地区的长航时无人机监测任务,城市内短距离快递配送无人机,深海无人潜水器的动力补充,极地环境的科研无人机项目,大型农业植保无人机在阳光充足地区的作业,,高海拔地区的长航时无人机监测任务;城市内短距离快递配送无人机;极地环境的科研无人机项目;大型农业植保无人机在阳光充足地区的作业,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00093,太阳能等新能源动力系统在无人机中的应用场景包括（）。,多选题,结构组成,中等,3,是,长时间的环境监测任务,高海拔地区的侦察任务,太阳能充电的混合动力系统用于延长续航,作为地面充电站的补充能源,仅用于小型无人机的短距离飞行,,长时间的环境监测任务;高海拔地区的侦察任务;太阳能充电的混合动力系统用于延长续航;作为地面充电站的补充能源,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
00094,太阳能等新能源动力系统通常由以下（ ）部分组成。,多选题,结构组成,中等,3,是,太阳能电池板,储能电池,传动链条,控制器,转换电路,,太阳能电池板;储能电池;控制器;转换电路,,超级管理员,2025-09-18 15:36:09,2025-09-18 15:36:10
