,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码
,A-B-A-003,C（判断题）,,安装无人机模拟飞行软件之前，需要确保计算机的硬件配置符合该软件的最低要求。(),正确,错误,,,,,A,3（中）,5（好）
,A-B-A-003,C（判断题）,,所有无人机模拟飞行软件都需要连接到互联网才能运行。(),正确,错误,,,,,B,3（中）,5（好）
,A-B-A-004,B（单选题）,,多旋翼无人机模拟飞行训练时飞行姿态的改变是通过调整（）来实现。,改变电机转速,改变螺旋桨桨距,改变桨叶角度,改变电机大小,,,A,3（中）,5（好）
,A-B-A-004,B（单选题）,,在多旋翼无人机模拟飞行软件中，用于起飞的操作是（）。,向下推动油门杆,向上推动油门杆,向左推动方向杆,向右推动方向杆,,,B,3（中）,5（好）
,A-B-A-004,B（单选题）,,在多旋翼无人机模拟飞行中，用于下降的操作是（）。,向下推动油门杆,向上推动油门杆,向左推动方向杆,向右推动方向杆,,,A,3（中）,5（好）
,A-B-A-004,B（单选题）,,在模拟飞行中，无人机的悬停通常需要调整（）控制杆。,油门杆,俯仰杆,横滚杆,偏航杆,,,A,3（中）,5（好）
,A-B-A-004,C（判断题）,,多旋翼无人机模拟飞行训练可以完全替代实际飞行训练。(),正确,错误,,,,,B,3（中）,5（好）
,A-B-A-004,C（判断题）,,在模拟飞行训练中，学员可以练习无人机的起飞、悬停、降落和基本飞行操作。（）,正确,错误,,,,,A,3（中）,5（好）
,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行时依靠（）调整飞行高度。,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,C,3（中）,5（好）
,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行时依靠（）调整飞行方向。,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,D,3（中）,5（好）
,A-B-A-005,B（单选题）,,固定翼无人机模拟飞行五边航线的第一边是（）。,离场边,下风边,基地边,上风边,,,A,3（中）,5（好）
,A-B-A-005,B（单选题）,,固定翼无人机五边航线的每一边飞行过程中，主要的姿态控制由（）完成。,升降舵和方向舵,副翼和升降舵,副翼、升降舵和方向舵协同,副翼和方向舵,,,C,3（中）,5（好）
,A-B-A-005,C（判断题）,,固定翼无人机模拟飞行训练时，速度越快越好，因为这样能更快完成训练任务。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-005,C（判断题）,,通过固定翼无人机模拟飞行训练，可以提高飞行员在实际飞行中的应急处理能力。(),正确,错误,,,,,A,3（中）,5（好）
,A-B-A-006,B（单选题）,,大气的最外层是（）。,对流层,平流层,热层,散逸层,,,D,3（中）,5（好）
,A-B-A-006,B（单选题）,,大气中含量最多的气体是（）。,氧气,氮气,二氧化碳,氩气,,,B,3（中）,5（好）
,A-B-A-006,B（单选题）,,标准大气规定海平面的气温是（）。,0℃,15℃,20℃,25℃,,,B,3（中）,5（好）
,A-B-A-006,B（单选题）,,在标准大气中，海平面上的大气压是（）。,900hPa,1013.25hPa,1050hPa,1100hPa,,,B,3（中）,5（好）
,A-B-A-006,C（判断题）,,大气的主要成分是氮气和氧气，它们分别占大气体积的大约78%和21%。（）,正确,错误,,,,,A,3（中）,5（好）
,A-B-A-006,C（判断题）,,大气的温度随着高度的增加而逐渐升高，这种变化主要发生在对流层。(),正确,错误,,,,,B,3（中）,5（好）
,A-B-A-007,B（单选题）,,（）是最基本的气象要素之一。,能见度,云量,气温,日照时数,,,C,3（中）,5（好）
,A-B-A-007,B（单选题）,,（）气象要素主要反映大气的干湿程度。,风速,相对湿度,气压,降水,,,B,3（中）,5（好）
,A-B-A-007,B（单选题）,,气象观测中，用来衡量空气冷热程度的要素是（）。,露点温度,体感温度,气温,地温,,,C,3（中）,5（好）
,A-B-A-007,B（单选题）,,素通常用百帕（hPa）作为单位的气象要是（）。,风速,气温,气压,湿度,,,C,5（难）,5（好）
,A-B-A-007,C（判断题）,,气温、气压、湿度和风速都是气象中的基本要素。(),正确,错误,,,,,A,2（易）,5（好）
,A-B-A-007,C（判断题）,,在气象学中，露点温度是指空气中的水汽达到饱和并开始凝结成水滴的温度。(),正确,错误,,,,,A,2（易）,5（好）
,A-B-A-008,B（单选题）,,气象参数对飞行影响最大的是（）。,温度,湿度,风速,气压,,,C,2（易）,5（好）
,A-B-A-008,B（单选题）,,（）不属于影响飞机起降的主要气象因素。,风速和风向,空气的密度,大气压力,空中的水汽含量,,,D,2（易）,5（好）
,A-B-A-008,B（单选题）,,如果无人机在飞行过程中遭遇雷暴，应该（）。,继续飞行,尝试降落,返回起点,增加高度,,,B,2（易）,5（好）
,A-B-A-008,B（单选题）,,无人机飞行的最佳天气条件是（）。,多云且有雾,晴朗且微风,高温且多湿,阴天且有小雨,,,B,2（易）,5（好）
,A-B-A-008,C（判断题）,,降水只会影响飞机的能见度，对飞机的其他性能没有影响。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-008,C（判断题）,,顺风飞行时，风速越大对飞行越有利。（）,正确,错误,,,,,B,2（易）,5（好）
,A-B-A-009,B（单选题）,,雷暴天气对无人机飞行的主要威胁是（）。,能见度降低,强风和雷电,动力效率下降,通讯中断,,,B,3（中）,5（好）
,A-B-A-009,B（单选题）,,低空风切变是指在短时间内风速和风向的急剧变化，这对无人机飞行的影响主要是（）。,导航困难,能源消耗增加,控制难度加大，可能导致失控,发动机或电机过热,,,C,3（中）,5（好）
,A-B-A-009,B（单选题）,,无人机在（）天气现象中飞行，机身容易出现抖动和不稳定的飞行状态。,沙尘天气,高湿度天气,顺风飞行,轻雾天气,,,A,3（中）,5（好）
,A-B-A-009,B（单选题）,,（）会导致无人机的电池续航能力急剧下降。,低温天气,小雪天气,轻度雾霾天气,微风天气,,,A,3（中）,5（好）
,A-B-A-009,C（判断题）,,飞机积冰主要发生在含有过冷水滴的云层中。(),正确,错误,,,,,A,3（中）,5（好）
,A-B-A-009,C（判断题）,,高空激流通常出现在对流层顶部或平流层底部，对飞行影响较小。(),正确,错误,,,,,B,3（中）,5（好）
,A-B-A-010,B（单选题）,,理想气体状态方程PV=nRT中的R代表（）。,气体的密度,气体常数,气体的压力,气体的体积,,,B,3（中）,5（好）
,A-B-A-010,B（单选题）,,大气的粘性主要是由于（）。,大气分子的不规则热运动和相互碰撞,大气中的杂质颗粒,地球引力对大气分子的作用,太阳辐射对大气的影响,,,A,3（中）,5（好）
,A-B-A-010,B（单选题）,,大气的低密度特性使得在高海拔地区（）。,声音传播速度更快,飞行器需要更大的升力才能飞行,气压变化对天气影响较小,更容易出现雷电现象,,,B,3（中）,5（好）
,A-B-A-010,B（单选题）,,理想气体状态方程中，当体积V保持不变时，压力P与温度T的关系是（）。,成正比,成反比,无关,先增加后减少,,,A,3（中）,5（好）
,A-B-A-010,C（判断题）,,大气在任何情况下都可以被看作是不可压缩流体。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-010,C（判断题）,,根据基本气态方程，当温度不变时，气体的压力和体积成反比，这一规律在所有大气环境下都严格成立。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-011,B（单选题）,,根据伯努利原理，流体速度增加时，（）会减小。,温度,密度,压强,粘性,,,C,3（中）,5（好）
,A-B-A-011,B（单选题）,,升力是如何产生的（）。,通过增加飞机的重量,通过减少飞机的阻力,通过机翼上下表面气流速度的差异,通过增加发动机推力,,,C,3（中）,5（好）
,A-B-A-011,B（单选题）,,飞行速度对升力的影响是（）。,与飞行速度成正比,与飞行速度的平方成正比,与飞行速度成反比,升力与飞行速度无关,,,B,3（中）,5（好）
,A-B-A-011,B（单选题）,,升力公式“L=1/2ρV2ClS中的Cl代表什么（）。,空气密度,飞行速度,机翼面积,升力系数,,,D,3（中）,5（好）
,A-B-A-011,C（判断题）,,飞机的升力主要来源于机翼上下表面的压力差。(),正确,错误,,,,,A,2（易）,5（好）
,A-B-A-011,C（判断题）,,其他条件不变的情况下，增加飞机的速度可以增加升力。(),正确,错误,,,,,A,3（中）,5（好）
,A-B-A-012,B（单选题）,,多旋翼无人机在空中悬停主要依靠()力来平衡。,重力和电磁力,向心力和重力,重力和升力,升力和摩擦力,,,C,3（中）,5（好）
,A-B-A-012,B（单选题）,,多旋翼无人机通过改变（）部件的速度来实现上升和下降。,机身,起落架,螺旋桨,导航灯,,,C,3（中）,5（好）
,A-B-A-012,B（单选题）,,多旋翼无人机的方向控制主要依靠（）传感器来检测旋转运动。,陀螺仪校准,气压计,温度传感器,加速度计用于姿态感知,,,A,3（中）,5（好）
,A-B-A-012,B（单选题）,,多旋翼无人机在没有GPS信号的情况下，通常依靠（）技术来保持悬停位置。,光流传感器,红外传感器,激光雷达和摄像头,声波传感器,,,A,3（中）,5（好）
,A-B-A-012,C（判断题）,,多旋翼无人机主要依靠改变每个旋翼的转速来实现飞行姿态的控制。（）,正确,错误,,,,,A,3（中）,5（好）
,A-B-A-012,C（判断题）,,多旋翼无人机在悬停时，所有旋翼的转速是相同的，并且不会发生变化。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-013,B（单选题）,,固定翼无人机的升力主要来源于机翼物理特性中的（）。,重量,形状,颜色,材质,,,B,3（中）,5（好）
,A-B-A-013,B（单选题）,,固定翼无人机的前进动力主要来自（）。,副翼的控制力,机翼产生的升力,发动机推力,尾翼控制力,,,C,3（中）,4（较好）
,A-B-A-013,B（单选题）,,在固定翼无人机飞行中，升降舵控制飞机的（）。,俯仰姿态,滚转姿态,偏航姿态,飞行速度,,,A,2（易）,5（好）
,A-B-A-013,B（单选题）,,固定翼无人机在飞行中，机翼的迎角与升力的关系是（）。,增加迎角增加升力,减少迎角减少升力,迎角不变，升力不变,迎角与升力无关,,,A,2（易）,5（好）
,A-B-A-013,C（判断题）,,固定翼无人机是依靠机翼上下表面的压力差产生升力来飞行的，只要机翼形状合适，就能一直保持飞行。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-013,C（判断题）,,平凸翼翼型固定翼无人机在水平飞行时，机翼上下表面的气流速度是相同的。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-014,B（单选题）,,无人直升机的升力主要由（）产生。,机身,主旋翼,尾桨,发动机,,,B,3（中）,5（好）
,A-B-A-014,B（单选题）,,无人直升机的尾桨主要作用是（）。,提供额外升力,控制直升机的俯仰,平衡主旋翼产生的反扭矩,控制直升机的滚转,,,C,3（中）,5（好）
,A-B-A-014,B（单选题）,,在无人直升机飞行中，要使直升机上升，应该（）。,增大主旋翼的桨距,减小主旋翼的桨距,增大尾桨的桨距,减小尾桨的桨距,,,A,3（中）,5（好）
,A-B-A-014,B（单选题）,,无人直升机的前进、后退和左右移动主要通过（）实现。,改变旋翼的总距杆位置,改变自动倾斜器的周期变距杆位置,改变尾桨的螺距角,改变旋翼的转速,,,B,3（中）,5（好）
,A-B-A-014,C（判断题）,,无人直升机依靠旋翼产生升力来飞行。(),正确,错误,,,,,A,3（中）,5（好）
,A-B-A-014,C（判断题）,,无人直升机可以实现垂直起降和悬停。(),正确,错误,,,,,A,3（中）,5（好）
,A-B-A-015,B（单选题）,,（）不是无人机通信的主要技术类型。,卫星通信,地面站通信,WiFi通信,5G通信,,,C,3（中）,5（好）
,A-B-A-015,B（单选题）,,无人机通信主要用于长距离、高速度的数据传输的类型是（）。,蓝牙通信,Wi-Fi通信,5G通信,光纤通信,,,C,3（中）,3（中）
,A-B-A-015,B（单选题）,,（）通信方式适用于短距离无人机操作。,Wi-Fi,卫星通信,光纤通信,5G通信,,,A,3（中）,5（好）
,A-B-A-015,B（单选题）,,无人机与遥控器之间的通信通常是通过（）进行的。,无线电波,电缆连接,蓝牙,红外线,,,A,3（中）,5（好）
,A-B-A-015,C（判断题）,,遥控器的频率范围决定了其控制距离。（）,正确,错误,,,,,A,2（易）,5（好）
,A-B-A-015,C（判断题）,,遥控器的天线长度不影响其控制效果。（）,正确,错误,,,,,B,2（易）,5（好）
,A-B-A-016,B（单选题）,,在无人机长距离无线数据传输中，（）参数对于保持稳定的通信链路最为关键。,调制方式,发射功率,频率稳定性,数据编码方式,,,C,3（中）,5（好）
,A-B-A-016,B（单选题）,,（）可以实现远距离的数据传输的无线数据传输技术。,WiFi,Zigbee,LoRa,NFC,,,C,3（中）,5（好）
,A-B-A-016,B（单选题）,,无人机无线数据传输系统的抗干扰能力主要取决于（）。,发射功率,调制和编码技术,传输频率,传输带宽,,,B,3（中）,5（好）
,A-B-A-016,B（单选题）,,无线数据传输系统的传输速度通常用（）来衡量。,Mbps(Megabitspersecond),Hz(Hertz),dBm(Decibel-milliwatts),mW(Milliwatts),,,A,3（中）,5（好）
,A-B-A-016,C（判断题）,,无线数传系统的数据传输速率越高，其传输距离就越远。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-016,C（判断题）,,在无线数传系统中，只要信号强度足够，就不需要考虑信号干扰问题。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-017,B（单选题）,,（）不是无线图像传输系统的常用带宽。,20MHz,40MHz,60MHz,80MHz,,,C,3（中）,5（好）
,A-B-A-017,B（单选题）,,（）不是无线图像传输系统的常见分辨率。,VGA,HD,FHD,UHD,,,A,3（中）,5（好）
,A-B-A-017,B（单选题）,,无线图像传输系统的分辨率通常指的是（）。,图像传感器的像素数量,显示屏的显示质量,视频流的清晰度,数据传输速率,,,C,3（中）,5（好）
