题目ID,题目陈述,题目类型,题目分类,难度等级,分值,参数名称,参数描述,数据类型,正确答案,容差值,最小值,最大值,单位,需要飞控读取,验证方法,解释说明,创建人,创建时间,是否启用
00031,验证横滚速率D增益ATC_RAT_RLL_D的值是否为0.004,ParameterVerify,PIDTuning,Hard,6,ATC_RAT_RLL_D,横滚速率D增益,Float,0.004,0.000100,0,0.02,,True,FloatTolerance,阻尼横滚轴角速度的震荡,AI生成器,2024-12-19 10:00:09,True
00032,设置横滚速率前馈ATC_RAT_RLL_FF为0,ParameterSetting,PIDTuning,Hard,6,ATC_RAT_RLL_FF,横滚速率前馈,Float,0,0.010000,0,0.5,,True,FloatTolerance,横滚速率控制前馈增益,AI生成器,2024-12-19 10:02:34,True
00034,设置横滚速率I增益ATC_RAT_RLL_I为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_RLL_I,横滚速率I增益,Float,0.135,0.001000,0,0.5,,True,FloatTolerance,消除横滚轴角速度的稳态误差,AI生成器,2024-12-19 10:00:08,True
00036,将横滚速率P增益ATC_RAT_RLL_P设置为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_RLL_P,横滚速率P增益,Float,0.135,0.001000,0,0.5,,True,FloatTolerance,控制横滚轴角速度的比例增益,AI生成器,2024-12-19 10:00:07,True
00037,验证偏航速率D增益ATC_RAT_YAW_D的值是否为0,ParameterVerify,PIDTuning,Easy,3,ATC_RAT_YAW_D,偏航速率D增益,Float,0,0.000100,0,0.02,,True,FloatTolerance,通常设为0以避免偏航轴噪音,AI生成器,2024-12-19 10:00:15,True
00038,将偏航速率前馈ATC_RAT_YAW_FF设置为0,ParameterSetting,PIDTuning,Hard,6,ATC_RAT_YAW_FF,偏航速率前馈,Float,0,0.010000,0,0.5,,True,FloatTolerance,偏航速率控制前馈增益,AI生成器,2024-12-19 10:02:36,True
00040,设置偏航速率I增益ATC_RAT_YAW_I为0.02,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_YAW_I,偏航速率I增益,Float,0.02,0.001000,0,0.1,,True,FloatTolerance,消除偏航轴角速度的稳态误差,AI生成器,2024-12-19 10:00:14,True
00042,将偏航速率P增益ATC_RAT_YAW_P设置为0.18,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_YAW_P,偏航速率P增益,Float,0.18,0.001000,0,0.5,,True,FloatTolerance,控制偏航轴角速度的比例增益,AI生成器,2024-12-19 10:00:13,True
00043,验证姿态控制角速度最大值ATC_RATE_FF_ENAB,ParameterVerify,PIDTuning,Hard,5,ATC_RATE_FF_ENAB,姿态速率前馈使能,Integer,1,0.000000,0,1,,True,ExactMatch,启用姿态角速率前馈控制,系统,2024-01-01 10:33:00,True
00045,验证自动调参AUTOTUNE_ENABLE是否为1,ParameterVerify,AdvancedFeatures,Medium,5,AUTOTUNE_AGGR,自动调参,Float,0.1,0.050000,0.05,0.2,,True,FloatTolerance,自动调参的激进程度,AI生成器,2024-12-19 10:02:27,True
00046,验证集群避让AVOID_ENABLE是否为0,ParameterVerify,AdvancedFeatures,Easy,3,AVOID_ENABLE,避障启用,Integer,0,0.000000,0,1,,True,ExactMatch,禁用自动避障功能,AI生成器,2024-12-19 10:01:57,True
00047,设置避障传感器参数AVOID_ENABLE为1,ParameterSetting,SafetySettings,Medium,4,AVOID_ENABLE,避障使能,Integer,1,0.000000,0,7,,True,ExactMatch,启用避障功能,系统,2024-01-01 11:14:00,True
00048,设置气压计校准BARO_ALT_OFFSET为0,ParameterSetting,SensorCalibration,Medium,4,BARO_ALT_OFFSET,气压计高度偏移,Float,0,0.500000,-127,127,m,True,FloatTolerance,气压计高度校准偏移,AI生成器,2024-12-19 10:03:37,True
00052,验证气压计温度BARO_GND_TEMP是否为35,ParameterVerify,SensorCalibration,Medium,4,BARO_GND_TEMP,地面温度,Float,35,2.000000,0,50,°C,True,FloatTolerance,地面参考温度设置,AI生成器,2024-12-19 10:03:35,True
00053,将第二气压计启用BARO_PROBE_EXT设置为0,ParameterSetting,SensorCalibration,Medium,4,BARO_PROBE_EXT,外部气压计探测,Integer,0,0.000000,0,31,,True,ExactMatch,禁用外部气压计探测,AI生成器,2024-12-19 10:03:36,True
00056,设置电池电流偏移BATT_AMP_OFFSET为0,ParameterSetting,SafetySettings,Medium,4,BATT_AMP_OFFSET,电池电流偏移,Float,0,0.100000,-10,10,A,True,FloatTolerance,电池电流测量偏移,AI生成器,2024-12-19 10:04:40,True
00057,将电池电流倍数BATT_AMP_PERVLT设置为17,ParameterSetting,SafetySettings,Medium,5,BATT_AMP_PERVLT,电池电流倍数,Float,17,1.000000,0,400,A/V,True,FloatTolerance,电池电流测量倍数,AI生成器,2024-12-19 10:04:39,True
00059,设置电池容量BATT_CAPACITY为5000,ParameterSetting,SafetySettings,Easy,3,BATT_CAPACITY,电池容量,Integer,5000,0.000000,0,100000,mAh,True,ExactMatch,设置电池的额定容量,AI生成器,2024-12-19 10:00:23,True
00060,验证电池容量参数BATT_CAPACITY的设置,ParameterVerify,SafetySettings,Easy,3,BATT_CAPACITY,电池容量,Integer,3300,0.000000,50,500000,毫安时,True,ExactMatch,电池的标称容量,系统,2024-01-01 11:01:00,True
00062,将严重低电压BATT_CRT_VOLT设置为13.5,ParameterSetting,SafetySettings,Medium,5,BATT_CRT_VOLT,严重低电压,Float,13.5,0.100000,0,100,V,True,FloatTolerance,触发紧急降落的电压阈值,AI生成器,2024-12-19 10:00:25,True
00063,将电池故障保护参数BATT_FS_LOW_ACT设置为1,ParameterSetting,SafetySettings,Medium,5,BATT_FS_LOW_ACT,电池低电量动作,Integer,1,0.000000,0,4,,True,ExactMatch,电池低电量时的故障保护动作,系统,2024-01-01 10:40:00,True
00064,设置电池低电压警告参数BATT_LOW_VOLT为14.5V,ParameterSetting,SafetySettings,Easy,3,BATT_LOW_VOLT,电池低电压,Float,14.5,0.100000,6.0,30.0,伏特,True,FloatTolerance,触发低电压警告的阈值,系统,2024-01-01 10:22:00,True
00065,验证低电压警告BATT_LOW_VOLT是否设置为14.4,ParameterVerify,SafetySettings,Medium,4,BATT_LOW_VOLT,低电压警告,Float,14.4,0.100000,0,100,V,True,FloatTolerance,触发低电压警告的电压阈值,AI生成器,2024-12-19 10:00:24,True
00066,将电池监测类型BATT_MONITOR设置为4,ParameterSetting,SafetySettings,Medium,5,BATT_MONITOR,电池监测类型,Integer,4,0.000000,0,20,,True,ExactMatch,启用电池电压和电流监测,AI生成器,2024-12-19 10:00:22,True
00067,验证电池电压监测参数BATT_MONITOR是否启用,ParameterVerify,SafetySettings,Easy,3,BATT_MONITOR,电池监测类型,Integer,4,0.000000,0,25,,True,ExactMatch,选择电池电压和电流监测方式,系统,2024-01-01 10:07:00,True
00068,将电池串数BATT_SERIAL_NUM设置为0,ParameterSetting,SafetySettings,Medium,4,BATT_SERIAL_NUM,电池序列号,Integer,0,0.000000,-1,2147483647,,True,ExactMatch,电池序列号设置,AI生成器,2024-12-19 10:04:42,True
00069,验证电池监测电阻BATT_VOLT_MULT是否为10.1,ParameterVerify,SafetySettings,Medium,5,BATT_VOLT_MULT,电池电压倍数,Float,10.1,0.100000,0.1,131,V/V,True,FloatTolerance,电池电压测量倍数,AI生成器,2024-12-19 10:04:38,True
00070,将电池监测偏移参数BATT_VOLT_MULT设置为10.1,ParameterSetting,SensorCalibration,Medium,4,BATT_VOLT_MULT,电池电压倍数,Float,10.1,0.100000,0.1,30.0,,True,FloatTolerance,电池电压的转换倍数,系统,2024-01-01 11:36:00,True
00071,验证电源模块参数BATT_VOLT_PIN的ADC引脚,ParameterVerify,SensorCalibration,Medium,4,BATT_VOLT_PIN,电池电压引脚,Integer,2,0.000000,0,15,,True,ExactMatch,电池电压监测的ADC引脚,系统,2024-01-01 11:21:00,True
00073,设置第二电池监测BATT2_MONITOR为0,ParameterSetting,SafetySettings,Easy,3,BATT2_MONITOR,电池2监测,Integer,0,0.000000,0,20,,True,ExactMatch,禁用第二电池监测,AI生成器,2024-12-19 10:04:43,True
00086,验证降落伞释放CHUTE_ENABLED是否为0,ParameterVerify,SafetySettings,Easy,3,CHUTE_ENABLED,降落伞启用,Integer,0,0.000000,0,1,,True,ExactMatch,禁用降落伞系统,AI生成器,2024-12-19 10:02:03,True
00087,设置螺旋半径CIRCLE_RADIUS为10,ParameterSetting,FlightModes,Medium,4,CIRCLE_RADIUS,绕圈半径,Float,10,1.000000,1,200,m,True,FloatTolerance,绕圈模式的飞行半径,AI生成器,2024-12-19 10:03:25,True
00088,将螺旋加速度CIRCLE_RATE设置为20,ParameterSetting,FlightModes,Medium,4,CIRCLE_RATE,绕圈速率,Float,20,1.000000,1,90,°/s,True,FloatTolerance,绕圈模式的角速度,AI生成器,2024-12-19 10:03:24,True
00089,设置罗盘自动校准COMPASS_AUTODEC为1,ParameterSetting,SensorCalibration,Medium,4,COMPASS_AUTODEC,罗盘自动校准,Integer,1,0.000000,0,1,,True,ExactMatch,启用罗盘磁偏角自动设置,AI生成器,2024-12-19 10:00:44,True
00090,设置罗盘偏角参数COMPASS_DEC为-11.5度,ParameterSetting,SensorCalibration,Medium,4,COMPASS_DEC,磁偏角,Float,-11.5,0.100000,-180.0,180.0,度,True,FloatTolerance,本地磁偏角用于罗盘校正,系统,2024-01-01 10:06:00,True
00091,验证罗盘1的设备ID参数COMPASS_DEV_ID,ParameterVerify,SensorCalibration,Medium,4,COMPASS_DEV_ID,罗盘设备ID,Integer,131874,0.000000,0,2147483647,,True,ExactMatch,第一个罗盘传感器的设备标识,系统,2024-01-01 10:21:00,True
00092,设置罗盘缩放COMPASS_DIA_X为1,ParameterSetting,SensorCalibration,Hard,6,COMPASS_DIA_X,罗盘1对角X,Float,1,0.010000,0.8,1.2,,True,FloatTolerance,罗盘1 X轴对角缩放,AI生成器,2024-12-19 10:03:52,True
00093,验证罗盘缩放COMPASS_DIA_Y是否为1,ParameterVerify,SensorCalibration,Hard,6,COMPASS_DIA_Y,罗盘1对角Y,Float,1,0.010000,0.8,1.2,,True,FloatTolerance,罗盘1 Y轴对角缩放,AI生成器,2024-12-19 10:03:53,True
00094,将罗盘缩放COMPASS_DIA_Z设置为1,ParameterSetting,SensorCalibration,Hard,6,COMPASS_DIA_Z,罗盘1对角Z,Float,1,0.010000,0.8,1.2,,True,FloatTolerance,罗盘1 Z轴对角缩放,AI生成器,2024-12-19 10:03:54,True
00095,验证罗盘外部COMPASS_EXTERNAL是否为0,ParameterVerify,SensorCalibration,Medium,4,COMPASS_EXTERNAL,罗盘1外部,Integer,0,0.000000,0,1,,True,ExactMatch,罗盘1为内部罗盘,AI生成器,2024-12-19 10:03:59,True
00096,验证罗盘学习参数COMPASS_LEARN是否为0,ParameterVerify,SensorCalibration,Easy,3,COMPASS_LEARN,罗盘学习,Integer,0,0.000000,0,3,,True,ExactMatch,罗盘偏移量学习模式,AI生成器,2024-12-19 10:00:45,True
00097,设置罗盘非对角COMPASS_ODI_X为0,ParameterSetting,SensorCalibration,Hard,6,COMPASS_ODI_X,罗盘1非对角X,Float,0,0.010000,-0.2,0.2,,True,FloatTolerance,罗盘1 X轴非对角校准,AI生成器,2024-12-19 10:03:55,True
00098,验证罗盘非对角COMPASS_ODI_Y是否为0,ParameterVerify,SensorCalibration,Hard,6,COMPASS_ODI_Y,罗盘1非对角Y,Float,0,0.010000,-0.2,0.2,,True,FloatTolerance,罗盘1 Y轴非对角校准,AI生成器,2024-12-19 10:03:56,True
00099,将罗盘非对角COMPASS_ODI_Z设置为0,ParameterSetting,SensorCalibration,Hard,6,COMPASS_ODI_Z,罗盘1非对角Z,Float,0,0.010000,-0.2,0.2,,True,FloatTolerance,罗盘1 Z轴非对角校准,AI生成器,2024-12-19 10:03:57,True
00100,设置罗盘偏移COMPASS_OFS_X为0,ParameterSetting,SensorCalibration,Medium,5,COMPASS_OFS_X,罗盘1偏移X,Float,0,10.000000,-400,400,,True,FloatTolerance,罗盘1 X轴偏移校准,AI生成器,2024-12-19 10:03:49,True
00101,检查磁力计偏置参数COMPASS_OFS_X的校准值,ParameterVerify,SensorCalibration,Hard,5,COMPASS_OFS_X,磁力计X轴偏置,Float,0.0,5.000000,-1000.0,1000.0,,True,NumericRange,X轴磁力计的偏置校正值,系统,2024-01-01 10:35:00,True
00102,验证罗盘偏移COMPASS_OFS_Y是否为0,ParameterVerify,SensorCalibration,Medium,5,COMPASS_OFS_Y,罗盘1偏移Y,Float,0,10.000000,-400,400,,True,FloatTolerance,罗盘1 Y轴偏移校准,AI生成器,2024-12-19 10:03:50,True
00103,将罗盘偏移COMPASS_OFS_Z设置为0,ParameterSetting,SensorCalibration,Medium,5,COMPASS_OFS_Z,罗盘1偏移Z,Float,0,10.000000,-400,400,,True,FloatTolerance,罗盘1 Z轴偏移校准,AI生成器,2024-12-19 10:03:51,True
00104,设置罗盘2偏置参数COMPASS_OFS2_X为0,ParameterSetting,SensorCalibration,Hard,5,COMPASS_OFS2_X,磁力计2 X轴偏置,Float,0.0,5.000000,-1000.0,1000.0,,True,NumericRange,第二个磁力计X轴偏置校正,系统,2024-01-01 10:50:00,True
00105,将第二罗盘偏移COMPASS_OFS2_X设置为0,ParameterSetting,SensorCalibration,Medium,5,COMPASS_OFS2_X,罗盘2偏移X,Float,0,10.000000,-400,400,,True,FloatTolerance,罗盘2 X轴偏移校准,AI生成器,2024-12-19 10:04:00,True
00106,设置第二罗盘偏移COMPASS_OFS2_Y为0,ParameterSetting,SensorCalibration,Medium,5,COMPASS_OFS2_Y,罗盘2偏移Y,Float,0,10.000000,-400,400,,True,FloatTolerance,罗盘2 Y轴偏移校准,AI生成器,2024-12-19 10:04:01,True
00107,验证第二罗盘偏移COMPASS_OFS2_Z是否为0,ParameterVerify,SensorCalibration,Medium,5,COMPASS_OFS2_Z,罗盘2偏移Z,Float,0,10.000000,-400,400,,True,FloatTolerance,罗盘2 Z轴偏移校准,AI生成器,2024-12-19 10:04:02,True
00108,设置罗盘方向COMPASS_ORIENT为0,ParameterSetting,SensorCalibration,Medium,4,COMPASS_ORIENT,罗盘1方向,Integer,0,0.000000,0,40,,True,ExactMatch,罗盘1安装方向设置,AI生成器,2024-12-19 10:03:58,True
00109,将罗盘使用个数COMPASS_USE设置为1,ParameterSetting,SensorCalibration,Medium,4,COMPASS_USE,罗盘使用,Integer,1,0.000000,0,3,,True,ExactMatch,启用罗盘传感器,AI生成器,2024-12-19 10:00:43,True
00110,设置第二罗盘启用COMPASS_USE2为1,ParameterSetting,SensorCalibration,Medium,4,COMPASS_USE2,罗盘2启用,Integer,1,0.000000,0,1,,True,ExactMatch,启用第二个罗盘传感器,AI生成器,2024-12-19 10:01:26,True
00111,验证第三罗盘启用COMPASS_USE3是否为0,ParameterVerify,SensorCalibration,Easy,3,COMPASS_USE3,罗盘3启用,Integer,0,0.000000,0,1,,True,ExactMatch,禁用第三个罗盘传感器,AI生成器,2024-12-19 10:01:27,True
00112,设置自动解锁时间AUTO_DISARM_DELAY为10,ParameterSetting,SafetySettings,Medium,4,DISARM_DELAY,自动上锁延迟,Integer,10,0.000000,0,127,s,True,ExactMatch,着陆后自动上锁时间,AI生成器,2024-12-19 10:04:37,True
00129,验证电调校准ESC_CALIBRATION是否为0,ParameterVerify,BasicParameters,Easy,3,ESC_CALIBRATION,电调校准,Integer,0,0.000000,0,3,,True,ExactMatch,电调校准模式设置,AI生成器,2024-12-19 10:02:24,True
00131,设置围栏动作FENCE_ACTION为1,ParameterSetting,SafetySettings,Medium,5,FENCE_ACTION,围栏违反动作,Integer,1,0.000000,0,3,,True,ExactMatch,围栏违反时执行RTL,AI生成器,2024-12-19 10:02:49,True
00132,验证围栏高度FENCE_ALT_MAX是否为100米,ParameterVerify,SafetySettings,Medium,4,FENCE_ALT_MAX,围栏最大高度,Float,100,5.000000,10,1000,m,True,FloatTolerance,设置围栏最大飞行高度,AI生成器,2024-12-19 10:02:50,True
00133,验证地理围栏启用FENCE_ENABLE是否为0,ParameterVerify,SafetySettings,Medium,4,FENCE_ENABLE,地理围栏启用,Integer,0,0.000000,0,1,,True,ExactMatch,禁用地理围栏功能,AI生成器,2024-12-19 10:02:47,True
00134,检查地理围栏使能参数FENCE_ENABLE是否激活,ParameterVerify,SafetySettings,Easy,3,FENCE_ENABLE,地理围栏使能,Integer,1,0.000000,0,1,,True,ExactMatch,启用地理围栏功能,系统,2024-01-01 10:31:00,True
00135,设置围栏边界FENCE_MARGIN为2米,ParameterSetting,SafetySettings,Medium,4,FENCE_MARGIN,围栏边界,Float,2,0.500000,1,10,m,True,FloatTolerance,围栏边界缓冲区,AI生成器,2024-12-19 10:02:52,True
00136,将围栏半径FENCE_RADIUS设置为300米,ParameterSetting,SafetySettings,Medium,4,FENCE_RADIUS,围栏半径,Float,300,10.000000,30,10000,m,True,FloatTolerance,设置围栏圆形边界半径,AI生成器,2024-12-19 10:02:51,True
00137,设置地理围栏半径参数FENCE_RADIUS为100米,ParameterSetting,SafetySettings,Medium,4,FENCE_RADIUS,围栏半径,Float,100,1.000000,30,10000,米,True,FloatTolerance,圆形地理围栏的半径,系统,2024-01-01 10:54:00,True
00138,将地理围栏类型FENCE_TYPE设置为7,ParameterSetting,SafetySettings,Medium,5,FENCE_TYPE,地理围栏类型,Integer,7,0.000000,0,15,,True,ExactMatch,启用所有围栏类型,AI生成器,2024-12-19 10:02:48,True
00141,设置光流传感器参数FLOW_TYPE为1,ParameterSetting,SensorCalibration,Medium,4,FLOW_TYPE,光流传感器类型,Integer,1,0.000000,0,6,,True,ExactMatch,光流传感器的类型设置,系统,2024-01-01 11:06:00,True
00142,设置飞行模式通道参数FLTMODE_CH为5,ParameterSetting,BasicParameters,Easy,3,FLTMODE_CH,飞行模式通道,Integer,5,0.000000,1,16,,True,ExactMatch,控制飞行模式切换的RC通道,系统,2024-01-01 11:34:00,True
00143,将飞行模式1设置为0（手动模式）,ParameterSetting,FlightModes,Easy,3,FLTMODE1,飞行模式1,Integer,0,0.000000,0,20,,True,ExactMatch,设置通道5位置1对应的飞行模式,AI生成器,2024-12-19 10:00:16,True
00144,设置飞行模式2为2（定高模式）,ParameterSetting,FlightModes,Easy,3,FLTMODE2,飞行模式2,Integer,2,0.000000,0,20,,True,ExactMatch,设置通道5位置2对应的飞行模式,AI生成器,2024-12-19 10:00:17,True
00145,验证飞行模式3是否设置为5（自稳模式）,ParameterVerify,FlightModes,Easy,3,FLTMODE3,飞行模式3,Integer,5,0.000000,0,20,,True,ExactMatch,检查通道5位置3的飞行模式设置,AI生成器,2024-12-19 10:00:18,True
00146,将飞行模式4设置为6（返航模式）,ParameterSetting,FlightModes,Medium,4,FLTMODE4,飞行模式4,Integer,6,0.000000,0,20,,True,ExactMatch,设置通道5位置4对应的飞行模式,AI生成器,2024-12-19 10:00:19,True
00147,将飞行模式5设置为3（定点模式）,ParameterSetting,FlightModes,Easy,3,FLTMODE5,飞行模式5,Integer,3,0.000000,0,20,,True,ExactMatch,设置通道5位置5对应的飞行模式,AI生成器,2024-12-19 10:01:16,True
00148,设置飞行模式6为9（土地模式）,ParameterSetting,FlightModes,Medium,4,FLTMODE6,飞行模式6,Integer,9,0.000000,0,20,,True,ExactMatch,设置通道5位置6对应的飞行模式,AI生成器,2024-12-19 10:01:17,True
00149,将电机方向FRAME_CLASS设置为1,ParameterSetting,BasicParameters,Medium,4,FRAME_CLASS,机架分类,Integer,1,0.000000,0,7,,True,ExactMatch,设置为四轴飞行器,AI生成器,2024-12-19 10:01:31,True
00150,验证电机布局FRAME_TYPE是否为1,ParameterVerify,BasicParameters,Medium,4,FRAME_TYPE,机架类型,Integer,1,0.000000,0,15,,True,ExactMatch,设置为X型四轴布局,AI生成器,2024-12-19 10:01:30,True
00151,检查机架类型参数FRAME_TYPE的当前配置,ParameterVerify,BasicParameters,Medium,4,FRAME_TYPE,机架类型,Integer,1,0.000000,0,18,,True,ExactMatch,定义多旋翼的机架配置类型,系统,2024-01-01 10:12:00,True
00155,验证失控保护FS_CRASH_CHECK是否为1,ParameterVerify,SafetySettings,Medium,5,FS_CRASH_CHECK,失控检查,Integer,1,0.000000,0,2,,True,ExactMatch,启用失控检测保护,AI生成器,2024-12-19 10:01:51,True
00156,设置EKF故障保护FS_EKF_ACTION为1,ParameterSetting,SafetySettings,Hard,6,FS_EKF_ACTION,EKF故障动作,Integer,1,0.000000,0,2,,True,ExactMatch,EKF故障时执行着陆,AI生成器,2024-12-19 10:02:55,True
00157,验证EKF阈值FS_EKF_THRESH是否为0.8,ParameterVerify,SafetySettings,Hard,6,FS_EKF_THRESH,EKF故障阈值,Float,0.8,0.050000,0.1,1,,True,FloatTolerance,EKF方差阈值设置,AI生成器,2024-12-19 10:02:56,True
00158,将GCS故障保护FS_GCS_ENABLE设置为0,ParameterSetting,SafetySettings,Medium,4,FS_GCS_ENABLE,地面站故障保护,Integer,0,0.000000,0,1,,True,ExactMatch,禁用地面站失联保护,AI生成器,2024-12-19 10:02:54,True
00159,检查地面站心跳超时参数FS_GCS_ENABLE,ParameterVerify,SafetySettings,Medium,4,FS_GCS_ENABLE,地面站故障保护,Integer,0,0.000000,0,2,,True,ExactMatch,地面站通信丢失时的故障保护,系统,2024-01-01 11:11:00,True
00162,验证故障保护动作参数FS_OPTIONS的配置,ParameterVerify,SafetySettings,Hard,5,FS_OPTIONS,故障保护选项,Integer,0,0.000000,0,65535,,True,ExactMatch,故障保护的额外选项设置,系统,2024-01-01 11:05:00,True
00163,设置故障保护动作FS_THR_ENABLE为1,ParameterSetting,SafetySettings,Medium,5,FS_THR_ENABLE,油门故障保护,Integer,1,0.000000,0,4,,True,ExactMatch,启用油门信号丢失保护,AI生成器,2024-12-19 10:00:35,True
00164,设置遥控器失效保护参数FS_THR_ENABLE为1,ParameterSetting,SafetySettings,Medium,5,FS_THR_ENABLE,油门故障保护,Integer,1,0.000000,0,2,,True,ExactMatch,启用油门信号丢失时的故障保护,系统,2024-01-01 10:19:00,True
00165,设置遥控器丢失超时参数FS_THR_VALUE为975,ParameterSetting,SafetySettings,Medium,5,FS_THR_VALUE,故障保护油门值,Integer,975,0.000000,925,1100,微秒,True,ExactMatch,触发油门故障保护的PWM值,系统,2024-01-01 11:10:00,True
00166,设置遥控器故障保护值FS_THR_VALUE为975,ParameterSetting,SafetySettings,Medium,5,FS_THR_VALUE,故障保护油门值,Integer,975,0.000000,925,1100,,True,ExactMatch,触发故障保护的油门脉宽值,AI生成器,2024-12-19 10:01:53,True
00167,验证振动检查FS_VIBE_ENABLE是否为1,ParameterVerify,SafetySettings,Medium,5,FS_VIBE_ENABLE,振动故障保护,Integer,1,0.000000,0,1,,True,ExactMatch,启用振动检测保护,AI生成器,2024-12-19 10:02:53,True
00168,将地面站心跳超时GCS_PID_MASK设置为0,ParameterSetting,AdvancedFeatures,Medium,4,GCS_PID_MASK,地面站PID掩码,Integer,0,0.000000,0,255,,True,ExactMatch,禁用向地面站发送PID调试信息,AI生成器,2024-12-19 10:02:10,True
