题目ID,题目陈述,题目类型,题目分类,难度等级,分值,参数名称,参数描述,数据类型,正确答案,容差值,最小值,最大值,单位,需要飞控读取,验证方法,解释说明,创建人,创建时间,是否启用
00025,"将位置控制加速度参数WPNAV_ACCEL设置为100",ParameterSetting,PIDTuning,Hard,5,WPNAV_ACCEL,位置控制加速度,Float,100,2,50,500,厘米/秒²,True,FloatTolerance,自动模式下的最大水平加速度,系统,2024-01-01 10:24:00,True
00026,"验证遥控器通道2中值RC2_TRIM是否为1500",ParameterVerify,BasicParameters,Easy,3,RC2_TRIM,遥控器通道2中值,Integer,1500,0,1200,1800,微秒,True,ExactMatch,俯仰通道的中性位置PWM值,系统,2024-01-01 10:25:00,True
00027,"设置GPS导航精度参数GPS_DELAY_MS为220毫秒",ParameterSetting,SensorCalibration,Medium,4,GPS_DELAY_MS,GPS延迟,Integer,220,0,0,1000,毫秒,True,ExactMatch,GPS数据处理延迟补偿,系统,2024-01-01 10:26:00,True
00028,"检查电机启动保护参数MOT_SAFE_DISARM的状态",ParameterVerify,SafetySettings,Medium,4,MOT_SAFE_DISARM,电机安全解锁,Integer,0,0,0,1,,True,ExactMatch,锁定时是否允许电机转动,系统,2024-01-01 10:27:00,True
00029,"将高度控制死区参数ALT_HOLD_RTL设置为100厘米",ParameterSetting,PIDTuning,Medium,4,ALT_HOLD_RTL,高度保持死区,Float,100,2,10,500,厘米,True,FloatTolerance,高度保持模式的控制死区,系统,2024-01-01 10:28:00,True
00030,"验证惯性导航系统参数AHRS_GPS_GAIN的配置",ParameterVerify,AdvancedFeatures,Hard,6,AHRS_GPS_GAIN,GPS增益,Float,1.0,0.1,0.0,1.0,,True,FloatTolerance,GPS在姿态估计中的权重,系统,2024-01-01 10:29:00,True
00031,"设置电流传感器比例参数BATT_AMP_PERVOLT为17.0",ParameterSetting,SensorCalibration,Medium,4,BATT_AMP_PERVOLT,电流传感器比例,Float,17.0,0.1,0.0,400.0,安培/伏特,True,FloatTolerance,电流传感器的转换比例,系统,2024-01-01 10:30:00,True
00032,"检查地理围栏使能参数FENCE_ENABLE是否激活",ParameterVerify,SafetySettings,Easy,3,FENCE_ENABLE,地理围栏使能,Integer,1,0,0,1,,True,ExactMatch,启用地理围栏功能,系统,2024-01-01 10:31:00,True
00033,"将自动着陆最终速度参数WPNAV_LOIT_SPEED设置为500",ParameterSetting,FlightModes,Medium,4,WPNAV_LOIT_SPEED,定点飞行速度,Float,500,10,50,1800,厘米/秒,True,FloatTolerance,定点模式下的最大速度,系统,2024-01-01 10:32:00,True
00034,"验证姿态控制角速度最大值ATC_RATE_FF_ENAB",ParameterVerify,PIDTuning,Hard,5,ATC_RATE_FF_ENAB,姿态速率前馈使能,Integer,1,0,0,1,,True,ExactMatch,启用姿态角速率前馈控制,系统,2024-01-01 10:33:00,True
00035,"设置遥控器通道3最大值RC3_MAX为2000",ParameterSetting,BasicParameters,Easy,3,RC3_MAX,遥控器通道3最大值,Integer,2000,0,1500,2200,微秒,True,ExactMatch,油门通道的最大PWM值,系统,2024-01-01 10:34:00,True
00036,"检查磁力计偏置参数COMPASS_OFS_X的校准值",ParameterVerify,SensorCalibration,Hard,5,COMPASS_OFS_X,磁力计X轴偏置,Float,0.0,5.0,-1000.0,1000.0,,True,NumericRange,X轴磁力计的偏置校正值,系统,2024-01-01 10:35:00,True
00037,"将失效安全RTL高度参数RTL_ALT设置为1500厘米",ParameterSetting,SafetySettings,Medium,4,RTL_ALT,RTL模式高度,Float,1500,10,0,8000,厘米,True,FloatTolerance,返航模式的飞行高度,系统,2024-01-01 10:36:00,True
00038,"验证GPS类型参数GPS_TYPE是否配置为自动",ParameterVerify,BasicParameters,Medium,4,GPS_TYPE,GPS类型,Integer,1,0,0,14,,True,ExactMatch,GPS接收器的类型设置,系统,2024-01-01 10:37:00,True
00039,"设置位置控制抖动过滤参数WPNAV_ACCEL_Z为100",ParameterSetting,PIDTuning,Hard,6,WPNAV_ACCEL_Z,垂直加速度,Float,100,2,50,500,厘米/秒²,True,FloatTolerance,自动模式下的最大垂直加速度,系统,2024-01-01 10:38:00,True
00040,"检查电机混控矩阵参数MOT_THST_EXPO的设置",ParameterVerify,AdvancedFeatures,Hard,6,MOT_THST_EXPO,推力指数,Float,0.65,0.05,0.0,1.0,,True,FloatTolerance,电机推力与PWM的非线性关系,系统,2024-01-01 10:39:00,True
00041,"将电池故障保护参数BATT_FS_LOW_ACT设置为1",ParameterSetting,SafetySettings,Medium,5,BATT_FS_LOW_ACT,电池低电量动作,Integer,1,0,0,4,,True,ExactMatch,电池低电量时的故障保护动作,系统,2024-01-01 10:40:00,True
00042,"验证气压计温度补偿参数BARO_TEMP的有效性",ParameterVerify,SensorCalibration,Medium,4,BARO_TEMP,气压计温度,Float,25.0,2.0,-40.0,85.0,摄氏度,True,NumericRange,气压计的环境温度值,系统,2024-01-01 10:41:00,True
00043,"设置自动任务完成动作参数MIS_DONE_BEHAVE为0",ParameterSetting,FlightModes,Medium,4,MIS_DONE_BEHAVE,任务完成行为,Integer,0,0,0,3,,True,ExactMatch,任务完成后的飞行器行为,系统,2024-01-01 10:42:00,True
00044,"检查惯导参数AHRS_ORIENTATION的方向设置",ParameterVerify,SensorCalibration,Medium,4,AHRS_ORIENTATION,AHRS方向,Integer,0,0,0,38,,True,ExactMatch,飞控板的安装方向,系统,2024-01-01 10:43:00,True
00045,"将角度模式最大倾斜角ANGLE_MAX设置为30度",ParameterSetting,FlightModes,Easy,3,ANGLE_MAX,最大倾斜角,Integer,3000,0,1000,8000,厘度,True,ExactMatch,稳定模式下的最大倾斜角度,系统,2024-01-01 10:44:00,True
00046,"验证遥控器接收机类型参数RC_PROTOCOLS",ParameterVerify,BasicParameters,Medium,4,RC_PROTOCOLS,遥控协议,Integer,1,0,0,2048,,True,ExactMatch,支持的遥控器协议类型,系统,2024-01-01 10:45:00,True
00047,"设置地面效应补偿参数EKF_POSNE_M_NSE为0.5",ParameterSetting,AdvancedFeatures,Hard,6,EKF_POSNE_M_NSE,位置测量噪声,Float,0.5,0.1,0.1,10.0,米,True,FloatTolerance,EKF位置测量的噪声方差,系统,2024-01-01 10:46:00,True
00048,"检查电调校准参数MOT_SPIN_MIN的最小值",ParameterVerify,AdvancedFeatures,Hard,5,MOT_SPIN_MIN,电机最小转速,Float,0.15,0.01,0.0,0.3,,True,FloatTolerance,电机开始转动的最小PWM比例,系统,2024-01-01 10:47:00,True
00049,"将自动模式切换延迟参数AUTO_DELAY设置为3秒",ParameterSetting,FlightModes,Medium,4,AUTO_DELAY,自动模式延迟,Float,3.0,0.1,0.0,60.0,秒,True,FloatTolerance,切换到自动模式的延迟时间,系统,2024-01-01 10:48:00,True
00050,"验证日志记录频率参数LOG_FILE_MB的配置",ParameterVerify,AdvancedFeatures,Medium,4,LOG_FILE_MB,日志文件大小,Integer,1,0,1,200,MB,True,ExactMatch,单个日志文件的最大大小,系统,2024-01-01 10:49:00,True
00051,"设置罗盘2偏置参数COMPASS_OFS2_X为0",ParameterSetting,SensorCalibration,Hard,5,COMPASS_OFS2_X,磁力计2 X轴偏置,Float,0.0,5.0,-1000.0,1000.0,,True,NumericRange,第二个磁力计X轴偏置校正,系统,2024-01-01 10:50:00,True
00052,"检查着陆检测参数LAND_REPOSITION的使能状态",ParameterVerify,FlightModes,Medium,4,LAND_REPOSITION,着陆重定位,Integer,1,0,0,1,,True,ExactMatch,着陆时是否允许位置调整,系统,2024-01-01 10:51:00,True
00053,"将油门中点参数THR_MID设置为500",ParameterSetting,BasicParameters,Easy,3,THR_MID,油门中点,Integer,500,0,300,700,,True,ExactMatch,油门摇杆中性位置对应的推力,系统,2024-01-01 10:52:00,True
00054,"验证振动监测参数INS_ACCEL_FILTER的频率",ParameterVerify,SensorCalibration,Hard,5,INS_ACCEL_FILTER,加速度计滤波频率,Float,20.0,1.0,0.0,100.0,赫兹,True,FloatTolerance,加速度计信号的低通滤波频率,系统,2024-01-01 10:53:00,True
00055,"设置地理围栏半径参数FENCE_RADIUS为100米",ParameterSetting,SafetySettings,Medium,4,FENCE_RADIUS,围栏半径,Float,100,1,30,10000,米,True,FloatTolerance,圆形地理围栏的半径,系统,2024-01-01 10:54:00,True
00056,"检查高度传感器参数RNGFND_TYPE的配置",ParameterVerify,SensorCalibration,Medium,4,RNGFND_TYPE,测距仪类型,Integer,0,0,0,31,,True,ExactMatch,激光测距仪的类型设置,系统,2024-01-01 10:55:00,True
00057,"将自动解锁参数ARMING_REQUIRE设置为1",ParameterSetting,SafetySettings,Easy,3,ARMING_REQUIRE,解锁要求,Integer,1,0,0,3,,True,ExactMatch,解锁飞行器所需的安全检查,系统,2024-01-01 10:56:00,True
00058,"验证GPS精度参数GPS_HDOP_GOOD的阈值",ParameterVerify,SensorCalibration,Medium,4,GPS_HDOP_GOOD,GPS精度阈值,Float,200,10,100,900,,True,FloatTolerance,GPS水平精度稀释的良好阈值,系统,2024-01-01 10:57:00,True
00059,"设置电机输出类型参数MOT_PWM_TYPE为0",ParameterSetting,AdvancedFeatures,Hard,6,MOT_PWM_TYPE,PWM输出类型,Integer,0,0,0,6,,True,ExactMatch,电机PWM信号的输出类型,系统,2024-01-01 10:58:00,True
00060,"检查气流速度传感器参数ARSPD_TYPE的设置",ParameterVerify,SensorCalibration,Medium,4,ARSPD_TYPE,空速传感器类型,Integer,0,0,0,8,,True,ExactMatch,空速传感器的类型配置,系统,2024-01-01 10:59:00,True
00061,"将返航速度参数RTL_SPEED设置为1000厘米/秒",ParameterSetting,FlightModes,Medium,4,RTL_SPEED,RTL速度,Float,1000,20,50,2000,厘米/秒,True,FloatTolerance,返航模式下的飞行速度,系统,2024-01-01 11:00:00,True
00062,"验证电池容量参数BATT_CAPACITY的设置",ParameterVerify,SafetySettings,Easy,3,BATT_CAPACITY,电池容量,Integer,3300,0,50,500000,毫安时,True,ExactMatch,电池的标称容量,系统,2024-01-01 11:01:00,True
00063,"设置摄像头云台俯仰角度参数CAM_TILT_MAX为90",ParameterSetting,AdvancedFeatures,Medium,4,CAM_TILT_MAX,云台最大俯仰角,Float,90,1,-90,90,度,True,FloatTolerance,摄像头云台的最大俯仰角度,系统,2024-01-01 11:02:00,True
00064,"检查风力估计参数WIND_MAX的最大值",ParameterVerify,AdvancedFeatures,Hard,5,WIND_MAX,最大风速,Float,0,1,0,100,米/秒,True,FloatTolerance,系统能够应对的最大风速,系统,2024-01-01 11:03:00,True
00065,"将位置环控制频率参数SCHED_LOOP_RATE设置为400Hz",ParameterSetting,AdvancedFeatures,Hard,6,SCHED_LOOP_RATE,主循环频率,Integer,400,0,50,2000,赫兹,True,ExactMatch,飞控主控制循环的运行频率,系统,2024-01-01 11:04:00,True
00066,"验证故障保护动作参数FS_OPTIONS的配置",ParameterVerify,SafetySettings,Hard,5,FS_OPTIONS,故障保护选项,Integer,0,0,0,65535,,True,ExactMatch,故障保护的额外选项设置,系统,2024-01-01 11:05:00,True
00067,"设置光流传感器参数FLOW_TYPE为1",ParameterSetting,SensorCalibration,Medium,4,FLOW_TYPE,光流传感器类型,Integer,1,0,0,6,,True,ExactMatch,光流传感器的类型设置,系统,2024-01-01 11:06:00,True
00068,"检查惯导加速度计参数INS_GYRO_FILTER的滤波器",ParameterVerify,SensorCalibration,Hard,5,INS_GYRO_FILTER,陀螺仪滤波频率,Float,0,1,0,100,赫兹,True,FloatTolerance,陀螺仪信号的低通滤波频率,系统,2024-01-01 11:07:00,True
00069,"将简化增稳参数SIMPLE使能设置为0",ParameterSetting,FlightModes,Easy,3,SIMPLE,简化模式,Integer,0,0,0,63,,True,ExactMatch,简化操控模式的通道设置,系统,2024-01-01 11:08:00,True
00070,"验证电机测试安全参数MOT_SAFE_DISARM状态",ParameterVerify,SafetySettings,Medium,4,MOT_SAFE_DISARM,电机安全测试,Integer,0,0,0,1,,True,ExactMatch,锁定状态下是否允许电机测试,系统,2024-01-01 11:09:00,True
00071,"设置遥控器丢失超时参数FS_THR_VALUE为975",ParameterSetting,SafetySettings,Medium,5,FS_THR_VALUE,故障保护油门值,Integer,975,0,925,1100,微秒,True,ExactMatch,触发油门故障保护的PWM值,系统,2024-01-01 11:10:00,True
00072,"检查地面站心跳超时参数FS_GCS_ENABLE",ParameterVerify,SafetySettings,Medium,4,FS_GCS_ENABLE,地面站故障保护,Integer,0,0,0,2,,True,ExactMatch,地面站通信丢失时的故障保护,系统,2024-01-01 11:11:00,True
00073,"将自动起飞速度参数PILOT_SPEED_UP设置为250",ParameterSetting,FlightModes,Medium,4,PILOT_SPEED_UP,飞行员上升速度,Float,250,5,50,500,厘米/秒,True,FloatTolerance,手动控制时的最大上升速度,系统,2024-01-01 11:12:00,True
00074,"验证EKF导航滤波器参数EKF_CHECK的使能",ParameterVerify,AdvancedFeatures,Hard,6,EKF_CHECK,EKF检查,Integer,8,0,0,1023,,True,ExactMatch,EKF导航滤波器的健康检查,系统,2024-01-01 11:13:00,True
00075,"设置避障传感器参数AVOID_ENABLE为1",ParameterSetting,SafetySettings,Medium,4,AVOID_ENABLE,避障使能,Integer,1,0,0,7,,True,ExactMatch,启用避障功能,系统,2024-01-01 11:14:00,True
00076,"检查数据闪存参数LOG_BITMASK的日志类型",ParameterVerify,AdvancedFeatures,Medium,4,LOG_BITMASK,日志位掩码,Integer,176126,0,0,2097151,,True,ExactMatch,选择记录的日志数据类型,系统,2024-01-01 11:15:00,True
00077,"将云台稳定参数MNT_STAB_TILT设置为1",ParameterSetting,AdvancedFeatures,Medium,4,MNT_STAB_TILT,云台俯仰稳定,Integer,1,0,0,1,,True,ExactMatch,启用云台俯仰轴稳定,系统,2024-01-01 11:16:00,True
00078,"验证GPS抗干扰参数GPS_GNSS_MODE的配置",ParameterVerify,SensorCalibration,Hard,5,GPS_GNSS_MODE,GNSS模式,Integer,0,0,0,65535,,True,ExactMatch,GPS卫星系统的使用模式,系统,2024-01-01 11:17:00,True
00079,"设置电机保护温度参数MOT_THST_HOVER为0.35",ParameterSetting,AdvancedFeatures,Hard,6,MOT_THST_HOVER,悬停推力,Float,0.35,0.01,0.1,0.8,,True,FloatTolerance,悬停时所需的推力比例,系统,2024-01-01 11:18:00,True
00080,"检查RC输入映射参数RCMAP_THROTTLE通道",ParameterVerify,BasicParameters,Easy,3,RCMAP_THROTTLE,油门通道映射,Integer,3,0,1,16,,True,ExactMatch,油门控制对应的RC通道,系统,2024-01-01 11:19:00,True
00081,"将自动降落最终阶段参数LAND_SPEED设置为50",ParameterSetting,FlightModes,Medium,4,LAND_SPEED,着陆速度,Float,50,2,30,200,厘米/秒,True,FloatTolerance,自动着陆的下降速度,系统,2024-01-01 11:20:00,True
00082,"验证电源模块参数BATT_VOLT_PIN的ADC引脚",ParameterVerify,SensorCalibration,Medium,4,BATT_VOLT_PIN,电池电压引脚,Integer,2,0,0,15,,True,ExactMatch,电池电压监测的ADC引脚,系统,2024-01-01 11:21:00,True
00083,"设置遥控器校准中心值RC4_TRIM为1500",ParameterSetting,BasicParameters,Easy,3,RC4_TRIM,遥控器通道4中值,Integer,1500,0,1200,1800,微秒,True,ExactMatch,偏航通道的中性位置PWM值,系统,2024-01-01 11:22:00,True
00084,"检查气压高度参数BARO_SPEC_GRAV的重力加速度",ParameterVerify,SensorCalibration,Hard,5,BARO_SPEC_GRAV,重力加速度,Float,9.80665,0.001,9.7,9.9,米/秒²,True,FloatTolerance,当地重力加速度值,系统,2024-01-01 11:23:00,True
00085,"将任务重启参数MIS_RESTART设置为0",ParameterSetting,FlightModes,Medium,4,MIS_RESTART,任务重启,Integer,0,0,0,1,,True,ExactMatch,断电后是否重启未完成任务,系统,2024-01-01 11:24:00,True
00086,"验证舵机输出参数SERVO1_FUNCTION的功能",ParameterVerify,AdvancedFeatures,Medium,4,SERVO1_FUNCTION,舵机1功能,Integer,0,0,0,109,,True,ExactMatch,舵机通道1的功能分配,系统,2024-01-01 11:25:00,True
00087,"设置精确着陆参数PLND_ENABLED为1",ParameterSetting,AdvancedFeatures,Hard,6,PLND_ENABLED,精确着陆使能,Integer,1,0,0,1,,True,ExactMatch,启用精确着陆功能,系统,2024-01-01 11:26:00,True
00088,"检查陀螺仪量程参数INS_GYRO_CAL的校准状态",ParameterVerify,SensorCalibration,Hard,5,INS_GYRO_CAL,陀螺仪校准,Integer,0,0,0,3,,True,ExactMatch,陀螺仪校准的触发设置,系统,2024-01-01 11:27:00,True
00089,"将超级简单模式参数SUPER_SIMPLE设置为0",ParameterSetting,FlightModes,Easy,3,SUPER_SIMPLE,超级简单模式,Integer,0,0,0,63,,True,ExactMatch,超级简单操控模式的通道设置,系统,2024-01-01 11:28:00,True
00090,"验证OSD显示参数OSD_TYPE的配置类型",ParameterVerify,AdvancedFeatures,Medium,4,OSD_TYPE,OSD类型,Integer,0,0,0,1,,True,ExactMatch,机载OSD显示器的类型,系统,2024-01-01 11:29:00,True
00091,"设置任务延迟参数WPNAV_LOIT_JERK为1000",ParameterSetting,PIDTuning,Hard,6,WPNAV_LOIT_JERK,定点飞行加加速度,Float,1000,50,500,5000,厘米/秒³,True,FloatTolerance,定点模式下的最大加加速度,系统,2024-01-01 11:30:00,True
00092,"检查CAN总线参数CAN_D1_PROTOCOL的协议",ParameterVerify,AdvancedFeatures,Hard,6,CAN_D1_PROTOCOL,CAN驱动协议,Integer,0,0,0,10,,True,ExactMatch,CAN总线的通信协议设置,系统,2024-01-01 11:31:00,True
00093,"将电机旋转方向参数MOT_YAW_HEADROOM设置为200",ParameterSetting,AdvancedFeatures,Hard,6,MOT_YAW_HEADROOM,偏航余量,Integer,200,0,0,500,,True,ExactMatch,偏航控制的推力余量,系统,2024-01-01 11:32:00,True
00094,"验证接近传感器参数PRX_TYPE的传感器类型",ParameterVerify,SensorCalibration,Medium,4,PRX_TYPE,接近传感器类型,Integer,0,0,0,4,,True,ExactMatch,接近感知传感器的类型,系统,2024-01-01 11:33:00,True
00095,"设置飞行模式通道参数FLTMODE_CH为5",ParameterSetting,BasicParameters,Easy,3,FLTMODE_CH,飞行模式通道,Integer,5,0,1,16,,True,ExactMatch,控制飞行模式切换的RC通道,系统,2024-01-01 11:34:00,True
00096,"检查地形跟随参数TERRAIN_ENABLE的使能状态",ParameterVerify,AdvancedFeatures,Medium,4,TERRAIN_ENABLE,地形跟随使能,Integer,0,0,0,1,,True,ExactMatch,启用地形跟随功能,系统,2024-01-01 11:35:00,True
00097,"将电池监测偏移参数BATT_VOLT_MULT设置为10.1",ParameterSetting,SensorCalibration,Medium,4,BATT_VOLT_MULT,电池电压倍数,Float,10.1,0.1,0.1,30.0,,True,FloatTolerance,电池电压的转换倍数,系统,2024-01-01 11:36:00,True
00098,"验证惯导震动参数INS_ACCEL_CAL的校准方法",ParameterVerify,SensorCalibration,Hard,5,INS_ACCEL_CAL,加速度计校准,Integer,0,0,0,4,,True,ExactMatch,加速度计校准的触发方式,系统,2024-01-01 11:37:00,True
00099,"设置自动任务半径参数WP_YAW_BEHAVIOR为0",ParameterSetting,FlightModes,Medium,4,WP_YAW_BEHAVIOR,航点偏航行为,Integer,0,0,0,3,,True,ExactMatch,飞向航点时的偏航控制行为,系统,2024-01-01 11:38:00,True
00100,"检查飞行时间统计参数STAT_FLTTIME的累计时间",ParameterVerify,AdvancedFeatures,Easy,3,STAT_FLTTIME,飞行时间统计,Integer,0,0,0,2147483647,秒,True,ExactMatch,累计飞行时间记录,系统,2024-01-01 11:39:00,True
